time Vol_0_default_submembrane_pointA_Spc_a Vol_1_default_submembrane_Spc_a Vol_2_region1_submembrane_Spc_a Vol_3_region1_submembrane_Spc_a Vol_0_default_submembrane_pointA_Spc_b Vol_1_default_submembrane_Spc_b Vol_2_region1_submembrane_Spc_b Vol_3_region1_submembrane_Spc_b Vol_0_default_submembrane_pointA_Spc_c Vol_1_default_submembrane_Spc_c Vol_2_region1_submembrane_Spc_c Vol_3_region1_submembrane_Spc_c Vol_0_default_submembrane_pointA_Spc_d Vol_1_default_submembrane_Spc_d Vol_2_region1_submembrane_Spc_d Vol_3_region1_submembrane_Spc_d
0.0 00 00 00 00 60 60 75 76 00 00 00 00 00 00 00 00 
0.050000 00 00 00 00 60 60 75 76 00 00 00 00 00 00 00 00 
0.10000 00 00 00 00 60 60 75 76 00 00 00 00 00 00 00 00 
0.15000 00 00 00 00 60 60 75 76 00 00 00 00 00 00 00 00 
0.20000 00 00 00 00 60 60 75 76 00 00 00 00 00 00 00 00 
0.25000 00 00 00 00 60 60 75 76 00 00 00 00 00 00 00 00 
0.30000 00 00 00 00 60 60 75 76 00 00 00 00 00 00 00 00 
0.35000 00 00 00 00 60 60 75 76 00 00 00 00 00 00 00 00 
0.40000 00 00 00 00 60 60 75 76 00 00 00 00 00 00 00 00 
0.45000 00 00 00 00 60 60 75 76 00 00 00 00 00 00 00 00 
0.50000 00 00 00 00 60 60 75 76 00 00 00 00 00 00 00 00 
0.55000 00 00 00 00 60 60 75 76 00 00 00 00 00 00 00 00 
0.60000 00 00 00 00 60 60 75 76 00 00 00 00 00 00 00 00 
0.65000 00 00 00 00 60 60 75 76 00 00 00 00 00 00 00 00 
0.70000 00 00 00 00 60 60 75 76 00 00 00 00 00 00 00 00 
0.75000 00 00 00 00 60 60 75 76 00 00 00 00 00 00 00 00 
0.80000 00 00 00 00 60 60 75 76 00 00 00 00 00 00 00 00 
0.85000 00 00 00 00 60 60 75 76 00 00 00 00 00 00 00 00 
0.90000 00 00 00 00 60 60 75 76 00 00 00 00 00 00 00 00 
0.95000 00 00 00 00 60 60 75 76 00 00 00 00 00 00 00 00 
1.0000 00 00 00 00 60 60 75 76 00 00 00 00 00 00 00 00 
1.0500 1 00 00 00 60 60 75 76 00 00 00 00 1 00 00 00 
1.1000 2 00 00 00 60 60 75 76 00 00 00 00 00 2 00 00 
1.1500 3 00 00 00 60 60 75 76 00 00 00 00 1 2 00 00 
1.2000 4 00 00 00 60 60 75 76 00 00 00 00 2 2 00 00 
1.2500 5 00 00 00 60 60 75 76 00 00 00 00 4 1 00 00 
1.3000 6 00 00 00 60 60 75 76 00 00 00 00 4 2 00 00 
1.3500 7 00 00 00 60 60 75 76 00 00 00 00 5 2 00 00 
1.4000 8 00 00 00 60 60 75 76 00 00 00 00 5 3 00 00 
1.4500 9 00 00 00 60 60 75 76 00 00 00 00 5 4 00 00 
1.5000 10 00 00 00 60 60 75 76 00 00 00 00 6 4 00 00 
1.5500 11 00 00 00 60 60 75 76 00 00 00 00 7 4 00 00 
1.6000 12 00 00 00 60 60 75 76 00 00 00 00 8 3 1 00 
1.6500 13 00 00 00 60 60 75 76 00 00 00 00 7 5 1 00 
1.7000 13 00 00 00 59 60 75 76 1 00 00 00 7 6 1 00 
1.7500 14 00 00 00 59 60 75 76 1 00 00 00 8 5 2 00 
1.8000 15 00 00 00 59 60 75 76 1 00 00 00 7 7 2 00 
1.8500 16 00 00 00 59 60 75 76 1 00 00 00 9 6 2 00 
1.9000 17 00 00 00 59 60 75 76 1 00 00 00 8 8 2 00 
1.9500 18 00 00 00 59 60 75 76 1 00 00 00 8 7 4 00 
2.0000 19 00 00 00 59 60 75 76 1 00 00 00 8 8 3 1 
2.0500 19 00 00 00 58 60 75 76 2 00 00 00 8 9 3 1 
2.1000 20 00 00 00 58 60 75 76 2 00 00 00 8 10 3 1 
2.1500 21 00 00 00 58 60 75 76 2 00 00 00 10 9 3 1 
2.2000 22 00 00 00 58 60 75 76 2 00 00 00 10 10 2 2 
2.2500 23 00 00 00 58 60 75 76 2 00 00 00 11 8 3 3 
2.3000 24 00 00 00 58 60 75 76 2 00 00 00 13 7 3 3 
2.3500 25 00 00 00 58 60 75 76 2 00 00 00 13 7 4 3 
2.4000 26 00 00 00 58 60 75 76 2 00 00 00 13 8 3 4 
2.4500 27 00 00 00 58 60 75 76 2 00 00 00 15 7 2 5 
2.5000 28 00 00 00 58 60 75 76 2 00 00 00 15 7 2 6 
2.5500 29 00 00 00 58 60 75 76 2 00 00 00 16 7 2 6 
2.6000 30 00 00 00 58 60 75 76 2 00 00 00 15 9 2 6 
2.6500 31 00 00 00 58 60 75 76 2 00 00 00 17 8 2 6 
2.7000 32 00 00 00 58 60 75 76 2 00 00 00 16 10 3 5 
2.7500 33 00 00 00 58 60 75 76 2 00 00 00 18 9 3 5 
2.8000 34 00 00 00 58 60 75 76 2 00 00 00 19 9 3 5 
2.8500 35 00 00 00 58 60 75 76 2 00 00 00 20 8 4 5 
2.9000 35 00 00 00 57 60 75 76 3 00 00 00 20 8 5 5 
2.9500 36 00 00 00 57 60 75 76 3 00 00 00 21 8 5 5 
3.0000 37 00 00 00 57 60 75 76 3 00 00 00 21 8 3 8 
3.0500 38 00 00 00 57 60 75 76 3 00 00 00 20 10 3 8 
3.1000 39 00 00 00 57 60 75 76 3 00 00 00 20 11 3 8 
3.1500 39 00 00 00 56 60 75 76 4 00 00 00 22 9 5 7 
3.2000 40 00 00 00 56 60 75 76 4 00 00 00 24 7 5 8 
3.2500 40 00 00 00 55 60 75 76 5 00 00 00 25 7 5 8 
3.3000 41 00 00 00 55 60 75 76 5 00 00 00 27 6 5 8 
3.3500 42 00 00 00 55 60 75 76 5 00 00 00 29 5 5 8 
3.4000 43 00 00 00 55 60 75 76 5 00 00 00 29 6 5 8 
3.4500 44 00 00 00 55 60 75 76 5 00 00 00 30 6 5 8 
3.5000 44 00 00 00 54 60 75 76 6 00 00 00 30 8 4 8 
3.5500 45 00 00 00 54 60 75 76 6 00 00 00 32 7 4 8 
3.6000 46 00 00 00 54 60 75 76 6 00 00 00 30 9 5 8 
3.6500 47 00 00 00 54 60 75 76 6 00 00 00 29 12 4 8 
3.7000 48 00 00 00 54 60 75 76 6 00 00 00 29 13 3 9 
3.7500 48 00 00 00 53 60 75 76 7 00 00 00 31 11 4 9 
3.8000 49 00 00 00 53 60 75 76 7 00 00 00 30 13 5 8 
3.8500 50 00 00 00 53 60 75 76 7 00 00 00 33 10 6 8 
3.9000 51 00 00 00 53 60 75 76 7 00 00 00 36 8 7 7 
3.9500 52 00 00 00 53 60 75 76 7 00 00 00 36 9 7 7 
4.0000 52 00 00 00 52 60 75 76 8 00 00 00 35 11 5 9 
4.0500 53 00 00 00 52 60 75 76 8 00 00 00 36 9 7 9 
4.1000 54 00 00 00 52 60 75 76 8 00 00 00 36 10 6 10 
4.1500 55 00 00 00 52 60 75 76 8 00 00 00 36 11 5 11 
4.2000 56 00 00 00 52 60 75 76 8 00 00 00 33 14 6 11 
4.2500 57 00 00 00 52 60 75 76 8 00 00 00 32 15 7 11 
4.3000 58 00 00 00 52 60 75 76 8 00 00 00 31 16 8 11 
4.3500 58 00 00 00 51 60 75 76 9 00 00 00 30 17 9 11 
4.4000 59 00 00 00 51 60 75 76 9 00 00 00 30 17 10 11 
4.4500 60 00 00 00 51 60 75 76 9 00 00 00 30 19 8 12 
4.5000 61 00 00 00 51 60 75 76 9 00 00 00 29 19 10 12 
4.5500 62 00 00 00 51 60 75 76 9 00 00 00 33 17 9 12 
4.6000 61 00 00 00 49 60 75 76 11 00 00 00 34 17 9 12 
4.6500 61 00 00 00 48 60 75 76 12 00 00 00 34 19 9 11 
4.7000 62 00 00 00 48 60 75 76 12 00 00 00 32 19 11 12 
4.7500 63 00 00 00 48 60 75 76 12 00 00 00 31 21 11 12 
4.8000 64 00 00 00 48 60 75 76 12 00 00 00 31 21 13 11 
4.8500 65 00 00 00 48 60 75 76 12 00 00 00 32 20 13 12 
4.9000 66 00 00 00 48 60 75 76 12 00 00 00 33 19 15 11 
4.9500 67 00 00 00 48 60 75 76 12 00 00 00 32 20 14 13 
5.0000 68 00 00 00 48 60 75 76 12 00 00 00 32 20 15 13 
5.0500 69 00 00 00 48 60 75 76 12 00 00 00 31 19 19 12 
5.1000 70 00 00 00 48 60 75 76 12 00 00 00 29 20 20 13 
5.1500 70 00 00 00 47 60 75 76 13 00 00 00 29 21 19 14 
5.2000 71 00 00 00 47 60 75 76 13 00 00 00 30 22 18 14 
