element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
0  1.0000 2.0000 0.0000 3.0000 2.0000 0.0000 3.0000 1.1102e-16 0.0000 1.0000 0.0000 0.0000 2.0000 0.50000
1  3.0000 2.0000 0.0000 5.3333 2.0000 0.0000 5.3333 1.1102e-16 0.0000 3.0000 0.0000 0.0000 2.3333 0.50000
2  5.3333 2.0000 0.0000 7.6667 2.0000 0.0000 7.6667 1.1102e-16 0.0000 5.3333 0.0000 0.0000 2.3333 0.50000
3  7.6667 2.0000 0.0000 10.000 2.0000 0.0000 10.000 1.1102e-16 0.0000 7.6667 0.0000 0.0000 2.3333 0.50000
4  4.0667 2.2000 0.0000 4.0667 2.0000 0.0000 4.2667 2.0000 0.0000 4.2667 2.2000 0.0000 0.0062832 0.10000
5  4.0667 2.4000 0.0000 4.0667 2.2000 0.0000 4.2667 2.2000 0.0000 4.2667 2.4000 0.0000 0.0062832 0.10000
6  3.9667 2.6000 0.0000 4.0667 2.4000 0.0000 4.2667 2.4000 0.0000 4.3667 2.6000 0.0000 0.014661 0.15000
7  3.9667 2.8000 0.0000 3.9667 2.6000 0.0000 4.3667 2.6000 0.0000 4.3667 2.8000 0.0000 0.025133 0.20000
8  4.0417 3.0000 0.0000 3.9667 2.8000 0.0000 4.3667 2.8000 0.0000 4.2917 3.0000 0.0000 0.016886 0.16250
9  4.1167 3.2000 0.0000 4.0417 3.0000 0.0000 4.2917 3.0000 0.0000 4.2167 3.2000 0.0000 0.0051051 0.087500
10  8.7333 2.2000 0.0000 8.7333 2.0000 0.0000 8.9333 2.0000 0.0000 8.9333 2.2000 0.0000 0.0062832 0.10000
11  8.7333 2.4000 0.0000 8.7333 2.2000 0.0000 8.9333 2.2000 0.0000 8.9333 2.4000 0.0000 0.0062832 0.10000
12  8.6333 2.6000 0.0000 8.7333 2.4000 0.0000 8.9333 2.4000 0.0000 9.0333 2.6000 0.0000 0.014661 0.15000
13  8.6333 2.8000 0.0000 8.6333 2.6000 0.0000 9.0333 2.6000 0.0000 9.0333 2.8000 0.0000 0.025133 0.20000
14  8.7083 3.0000 0.0000 8.6333 2.8000 0.0000 9.0333 2.8000 0.0000 8.9583 3.0000 0.0000 0.016886 0.16250
15  8.7833 3.2000 0.0000 8.7083 3.0000 0.0000 8.9583 3.0000 0.0000 8.8833 3.2000 0.0000 0.0051051 0.087500
16  8.7333 2.2000 0.0000 8.7333 2.0000 0.0000 8.9333 2.0000 0.0000 8.9333 2.2000 0.0000 0.0062832 0.10000
17  8.7333 2.4000 0.0000 8.7333 2.2000 0.0000 8.9333 2.2000 0.0000 8.9333 2.4000 0.0000 0.0062832 0.10000
18  8.6333 2.6000 0.0000 8.7333 2.4000 0.0000 8.9333 2.4000 0.0000 9.0333 2.6000 0.0000 0.014661 0.15000
19  8.6333 2.8000 0.0000 8.6333 2.6000 0.0000 9.0333 2.6000 0.0000 9.0333 2.8000 0.0000 0.025133 0.20000
20  8.7083 3.0000 0.0000 8.6333 2.8000 0.0000 9.0333 2.8000 0.0000 8.9583 3.0000 0.0000 0.016886 0.16250
21  8.7833 3.2000 0.0000 8.7083 3.0000 0.0000 8.9583 3.0000 0.0000 8.8833 3.2000 0.0000 0.0051051 0.087500
