time Vol_0_region1_submembrane_Spc_a Vol_1_region1_cytosol_Spc_a Vol_2_region1_submembrane_Spc_a Vol_3_region1_submembrane_Spc_a Vol_4_region1_cytosol_Spc_a Vol_5_region1_submembrane_Spc_a Vol_6_region1_submembrane_Spc_a Vol_7_region1_cytosol_Spc_a Vol_8_region1_submembrane_Spc_a Vol_9_region1_submembrane_Spc_a Vol_10_region1_cytosol_Spc_a Vol_11_region1_submembrane_Spc_a Vol_12_region1_submembrane_Spc_a Vol_13_region1_cytosol_Spc_a Vol_14_region1_submembrane_Spc_a Vol_15_region1_submembrane_Spc_a Vol_16_region1_cytosol_Spc_a Vol_17_region1_submembrane_Spc_a Vol_18_neck.sa1[4]_cytosol_Spc_a Vol_19_neck.sa1[4]_cytosol_Spc_a Vol_20_neck.sa1[4]_cytosol_Spc_a Vol_21_neck.sa1[4]_cytosol_Spc_a Vol_22_neck.sa1[4]_cytosol_Spc_a Vol_23_SH1.sa1[4]_cytosol_Spc_a Vol_24_SH1.sa1[4]_cytosol_pointA_Spc_a Vol_25_neck.sa1[4]_cytosol_Spc_a Vol_26_neck.sa1[4]_cytosol_Spc_a Vol_27_neck.sa1[4]_cytosol_Spc_a Vol_28_neck.sa1[4]_cytosol_Spc_a Vol_29_neck.sa1[4]_cytosol_Spc_a Vol_30_SH1.sa1[4]_cytosol_Spc_a Vol_31_SH1.sa1[4]_cytosol_pointA_Spc_a Vol_32_neck.sa1[4]_cytosol_Spc_a Vol_33_neck.sa1[4]_cytosol_Spc_a Vol_34_neck.sa1[4]_cytosol_Spc_a Vol_35_neck.sa1[4]_cytosol_Spc_a Vol_36_neck.sa1[4]_cytosol_Spc_a Vol_37_SH1.sa1[4]_cytosol_Spc_a Vol_38_SH1.sa1[4]_cytosol_pointA_Spc_a Vol_39_neck.sa1[4]_cytosol_Spc_a Vol_40_neck.sa1[4]_cytosol_Spc_a Vol_41_neck.sa1[4]_cytosol_Spc_a Vol_42_neck.sa1[4]_cytosol_Spc_a Vol_43_neck.sa1[4]_cytosol_Spc_a Vol_44_SH1.sa1[4]_cytosol_Spc_a Vol_45_SH1.sa1[4]_cytosol_pointA_Spc_a
0.0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 1 00 1 1 2 00 00 1 00 1 1 2 00 00 1 1 00 1 2 00 00 00 1 00 1 2 00 00 
1.0000 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 1 00 1 1 1 1 00 1 00 2 00 2 00 00 1 00 1 1 1 1 00 00 00 00 2 1 1 00 
2.0000 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 1 00 1 2 1 00 2 00 00 1 00 2 00 2 00 1 00 00 2 00 00 00 00 2 2 00 00 
3.0000 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 1 00 00 1 00 3 00 00 1 00 00 2 1 00 2 00 1 00 2 00 00 00 1 00 1 1 1 00 
4.0000 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 1 00 1 3 00 00 00 00 1 2 00 1 2 00 1 00 1 1 00 00 00 1 00 2 1 00 
5.0000 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 1 3 1 00 00 00 00 00 2 2 00 00 3 1 00 00 00 1 00 00 1 1 1 1 00 
6.0000 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 1 00 3 1 00 00 00 1 00 2 1 1 2 1 00 00 00 1 00 1 1 00 1 1 00 
7.0000 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 1 00 1 3 00 00 00 1 00 3 00 00 3 00 00 1 1 00 1 00 1 00 1 00 1 
8.0000 00 00 00 00 00 00 1 00 00 00 00 00 00 00 00 00 00 00 00 00 1 00 1 1 2 00 00 00 1 1 1 1 00 1 1 00 1 1 00 00 2 00 00 00 00 2 
9.0000 00 00 00 00 00 00 1 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 1 4 00 00 00 00 1 00 3 00 00 00 1 1 00 2 00 00 1 00 1 00 1 1 
10.000 00 00 00 1 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 1 1 2 1 00 00 00 1 3 00 00 00 00 1 00 1 00 2 1 00 00 1 1 1 00 
11.000 00 00 00 1 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 1 1 2 1 00 00 00 1 00 3 00 00 00 1 1 1 1 00 00 1 00 1 1 1 00 
12.000 00 00 00 1 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 1 00 2 2 00 00 1 00 00 2 1 00 00 1 1 1 00 1 1 00 1 00 1 1 00 
13.000 00 00 00 1 00 00 00 00 1 00 00 00 00 00 00 00 1 00 00 00 00 1 00 2 2 00 00 00 1 00 2 1 1 00 1 00 1 1 00 00 00 2 00 1 1 00 
14.000 00 00 00 1 00 00 00 00 1 00 00 00 00 00 00 00 1 00 00 00 00 00 1 2 2 00 00 00 1 00 3 00 1 00 1 00 1 1 00 00 00 2 00 1 1 00 
15.000 00 00 00 1 00 00 00 00 1 00 00 00 00 00 00 00 1 00 00 00 00 00 00 4 1 00 00 00 1 1 2 00 00 1 00 1 1 1 00 00 1 1 00 00 1 1 
16.000 00 00 00 1 00 00 00 00 1 00 00 00 00 00 00 00 2 00 00 00 00 00 1 2 2 00 00 1 1 00 2 00 00 1 00 1 1 00 1 00 1 1 00 00 2 00 
17.000 00 00 00 00 00 00 00 1 00 00 00 00 00 00 00 1 1 00 00 00 00 00 00 4 1 00 00 1 1 1 1 00 00 1 00 1 1 1 00 00 1 00 1 1 1 00 
18.000 00 00 00 00 00 00 00 1 00 00 00 00 00 00 00 1 00 00 00 00 00 00 00 1 3 00 00 1 1 1 00 1 1 1 00 00 00 2 00 1 00 1 00 1 1 00 
19.000 00 00 00 00 00 00 00 1 00 00 00 00 00 00 00 1 00 00 00 00 1 00 00 1 2 00 1 00 1 1 1 00 1 1 00 00 00 1 1 00 1 1 00 00 2 00 
