element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
0  1.0000 2.0000 0.0000 1.6667 2.0000 0.0000 1.6667 1.3333 0.0000 1.0000 1.3333 0.0000 0.22222 0.50000
1  1.0000 1.3333 0.0000 1.6667 1.3333 0.0000 1.6667 0.66667 0.0000 1.0000 0.66667 0.0000 0.22222 0.50000
2  1.0000 0.66667 0.0000 1.6667 0.66667 0.0000 1.6667 2.2204e-16 0.0000 1.0000 2.2204e-16 0.0000 0.22222 0.50000
3  1.6667 2.0000 0.0000 2.3333 2.0000 0.0000 2.3333 1.3333 0.0000 1.6667 1.3333 0.0000 0.22222 0.50000
4  1.6667 1.3333 0.0000 2.3333 1.3333 0.0000 2.3333 0.66667 0.0000 1.6667 0.66667 0.0000 0.22222 0.50000
5  1.6667 0.66667 0.0000 2.3333 0.66667 0.0000 2.3333 2.2204e-16 0.0000 1.6667 2.2204e-16 0.0000 0.22222 0.50000
6  2.3333 2.0000 0.0000 3.0000 2.0000 0.0000 3.0000 1.3333 0.0000 2.3333 1.3333 0.0000 0.22222 0.50000
7  2.3333 1.3333 0.0000 3.0000 1.3333 0.0000 3.0000 0.66667 0.0000 2.3333 0.66667 0.0000 0.22222 0.50000
8  2.3333 0.66667 0.0000 3.0000 0.66667 0.0000 3.0000 2.2204e-16 0.0000 2.3333 2.2204e-16 0.0000 0.22222 0.50000
9  3.0000 2.0000 0.0000 3.6667 2.0000 0.0000 3.6667 1.3333 0.0000 3.0000 1.3333 0.0000 0.22222 0.50000
10  3.0000 1.3333 0.0000 3.6667 1.3333 0.0000 3.6667 0.66667 0.0000 3.0000 0.66667 0.0000 0.22222 0.50000
11  3.0000 0.66667 0.0000 3.6667 0.66667 0.0000 3.6667 2.2204e-16 0.0000 3.0000 2.2204e-16 0.0000 0.22222 0.50000
12  3.6667 2.0000 0.0000 4.3333 2.0000 0.0000 4.3333 1.3333 0.0000 3.6667 1.3333 0.0000 0.22222 0.50000
13  3.6667 1.3333 0.0000 4.3333 1.3333 0.0000 4.3333 0.66667 0.0000 3.6667 0.66667 0.0000 0.22222 0.50000
14  3.6667 0.66667 0.0000 4.3333 0.66667 0.0000 4.3333 2.2204e-16 0.0000 3.6667 2.2204e-16 0.0000 0.22222 0.50000
15  4.3333 2.0000 0.0000 5.0000 2.0000 0.0000 5.0000 1.3333 0.0000 4.3333 1.3333 0.0000 0.22222 0.50000
16  4.3333 1.3333 0.0000 5.0000 1.3333 0.0000 5.0000 0.66667 0.0000 4.3333 0.66667 0.0000 0.22222 0.50000
17  4.3333 0.66667 0.0000 5.0000 0.66667 0.0000 5.0000 2.2204e-16 0.0000 4.3333 2.2204e-16 0.0000 0.22222 0.50000
18  1.4333 -0.18571 0.0000 1.4333 2.2817e-16 0.0000 1.2333 2.1592e-16 0.0000 1.2333 -0.18571 0.0000 0.0058344 0.10000
19  1.4333 -0.37143 0.0000 1.4333 -0.18571 0.0000 1.2333 -0.18571 0.0000 1.2333 -0.37143 0.0000 0.0058344 0.10000
20  1.4333 -0.55714 0.0000 1.4333 -0.37143 0.0000 1.2333 -0.37143 0.0000 1.2333 -0.55714 0.0000 0.0058344 0.10000
21  1.4690 -0.74286 0.0000 1.4333 -0.55714 0.0000 1.2333 -0.55714 0.0000 1.1976 -0.74286 0.0000 0.0081662 0.11786
22  1.5155 -0.92857 0.0000 1.4690 -0.74286 0.0000 1.1976 -0.74286 0.0000 1.1512 -0.92857 0.0000 0.014841 0.15893
23  1.5333 -1.1143 0.0000 1.5155 -0.92857 0.0000 1.1512 -0.92857 0.0000 1.1333 -1.1143 0.0000 0.021316 0.19107
