element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
0  2.0000 1.3750 -0.25000 2.2500 1.3750 -0.25000 2.2500 1.1250 -0.25000 2.0000 1.1250 -0.25000 0.015625 0.25000
1  2.0000 1.3750 0.0000 2.2500 1.3750 0.0000 2.2500 1.1250 0.0000 2.0000 1.1250 0.0000 0.015625 0.25000
2  2.0000 1.3750 0.25000 2.2500 1.3750 0.25000 2.2500 1.1250 0.25000 2.0000 1.1250 0.25000 0.015625 0.25000
3  2.0000 1.1250 -0.25000 2.2500 1.1250 -0.25000 2.2500 0.87500 -0.25000 2.0000 0.87500 -0.25000 0.015625 0.25000
4  2.0000 1.1250 0.0000 2.2500 1.1250 0.0000 2.2500 0.87500 0.0000 2.0000 0.87500 0.0000 0.015625 0.25000
5  2.0000 1.1250 0.25000 2.2500 1.1250 0.25000 2.2500 0.87500 0.25000 2.0000 0.87500 0.25000 0.015625 0.25000
6  2.0000 0.87500 -0.25000 2.2500 0.87500 -0.25000 2.2500 0.62500 -0.25000 2.0000 0.62500 -0.25000 0.015625 0.25000
7  2.0000 0.87500 0.0000 2.2500 0.87500 0.0000 2.2500 0.62500 0.0000 2.0000 0.62500 0.0000 0.015625 0.25000
8  2.0000 0.87500 0.25000 2.2500 0.87500 0.25000 2.2500 0.62500 0.25000 2.0000 0.62500 0.25000 0.015625 0.25000
9  2.2500 1.3750 -0.25000 2.5000 1.3750 -0.25000 2.5000 1.1250 -0.25000 2.2500 1.1250 -0.25000 0.015625 0.25000
10  2.2500 1.3750 0.0000 2.5000 1.3750 0.0000 2.5000 1.1250 0.0000 2.2500 1.1250 0.0000 0.015625 0.25000
11  2.2500 1.3750 0.25000 2.5000 1.3750 0.25000 2.5000 1.1250 0.25000 2.2500 1.1250 0.25000 0.015625 0.25000
12  2.2500 1.1250 -0.25000 2.5000 1.1250 -0.25000 2.5000 0.87500 -0.25000 2.2500 0.87500 -0.25000 0.015625 0.25000
13  2.2500 1.1250 0.0000 2.5000 1.1250 0.0000 2.5000 0.87500 0.0000 2.2500 0.87500 0.0000 0.015625 0.25000
14  2.2500 1.1250 0.25000 2.5000 1.1250 0.25000 2.5000 0.87500 0.25000 2.2500 0.87500 0.25000 0.015625 0.25000
