element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
0  2.0000 1.0581 0.090458 2.2500 1.0581 0.090458 2.2500 1.0581 -0.090458 2.0000 1.0581 -0.090458 0.011556 0.0000
1  2.0000 0.67786 0.015216 2.2500 0.67786 0.015216 2.2500 1.1479 0.28659 2.0000 1.1479 0.28659 0.011556 0.0000
2  2.0000 1.1742 0.27137 2.2500 1.1742 0.27137 2.2500 1.1742 -0.27137 2.0000 1.1742 -0.27137 0.011556 0.0000
3  2.0000 1.1479 -0.28659 2.2500 1.1479 -0.28659 2.2500 0.67786 -0.015216 2.0000 0.67786 -0.015216 0.011556 0.0000
4  2.0000 0.53500 0.0000 2.2500 0.53500 0.0000 2.2500 0.59730 0.23250 2.0000 0.59730 0.23250 0.0013563 0.0000
5  2.0000 0.59730 0.23250 2.2500 0.59730 0.23250 2.2500 0.76750 0.40270 2.0000 0.76750 0.40270 0.0013563 0.0000
6  2.0000 0.76750 0.40270 2.2500 0.76750 0.40270 2.2500 1.0000 0.46500 2.0000 1.0000 0.46500 0.0013563 0.0000
7  2.0000 1.0000 0.46500 2.2500 1.0000 0.46500 2.2500 1.2325 0.40270 2.0000 1.2325 0.40270 0.0013563 0.0000
8  2.0000 1.2325 0.40270 2.2500 1.2325 0.40270 2.2500 1.4027 0.23250 2.0000 1.4027 0.23250 0.0013563 0.0000
9  2.0000 1.4027 0.23250 2.2500 1.4027 0.23250 2.2500 1.4650 5.6946e-17 2.0000 1.4650 5.6946e-17 0.0013563 0.0000
10  2.0000 1.4650 5.6946e-17 2.2500 1.4650 5.6946e-17 2.2500 1.4027 -0.23250 2.0000 1.4027 -0.23250 0.0013563 0.0000
11  2.0000 1.4027 -0.23250 2.2500 1.4027 -0.23250 2.2500 1.2325 -0.40270 2.0000 1.2325 -0.40270 0.0013563 0.0000
12  2.0000 1.2325 -0.40270 2.2500 1.2325 -0.40270 2.2500 1.0000 -0.46500 2.0000 1.0000 -0.46500 0.0013563 0.0000
13  2.0000 1.0000 -0.46500 2.2500 1.0000 -0.46500 2.2500 0.76750 -0.40270 2.0000 0.76750 -0.40270 0.0013563 0.0000
14  2.0000 0.76750 -0.40270 2.2500 0.76750 -0.40270 2.2500 0.59730 -0.23250 2.0000 0.59730 -0.23250 0.0013563 0.0000
15  2.0000 0.59730 -0.23250 2.2500 0.59730 -0.23250 2.2500 0.53500 -5.2690e-16 2.0000 0.53500 -5.2690e-16 0.0013563 0.0000
16  2.2500 1.0581 0.090458 2.5000 1.0581 0.090458 2.5000 1.0581 -0.090458 2.2500 1.0581 -0.090458 0.011556 0.0000
17  2.2500 0.67786 0.015216 2.5000 0.67786 0.015216 2.5000 1.1479 0.28659 2.2500 1.1479 0.28659 0.011556 0.0000
18  2.2500 1.1742 0.27137 2.5000 1.1742 0.27137 2.5000 1.1742 -0.27137 2.2500 1.1742 -0.27137 0.011556 0.0000
19  2.2500 1.1479 -0.28659 2.5000 1.1479 -0.28659 2.5000 0.67786 -0.015216 2.2500 0.67786 -0.015216 0.011556 0.0000
20  2.2500 0.53500 0.0000 2.5000 0.53500 0.0000 2.5000 0.59730 0.23250 2.2500 0.59730 0.23250 0.0013563 0.0000
21  2.2500 0.59730 0.23250 2.5000 0.59730 0.23250 2.5000 0.76750 0.40270 2.2500 0.76750 0.40270 0.0013563 0.0000
22  2.2500 0.76750 0.40270 2.5000 0.76750 0.40270 2.5000 1.0000 0.46500 2.2500 1.0000 0.46500 0.0013563 0.0000
23  2.2500 1.0000 0.46500 2.5000 1.0000 0.46500 2.5000 1.2325 0.40270 2.2500 1.2325 0.40270 0.0013563 0.0000
24  2.2500 1.2325 0.40270 2.5000 1.2325 0.40270 2.5000 1.4027 0.23250 2.2500 1.4027 0.23250 0.0013563 0.0000
25  2.2500 1.4027 0.23250 2.5000 1.4027 0.23250 2.5000 1.4650 5.6946e-17 2.2500 1.4650 5.6946e-17 0.0013563 0.0000
26  2.2500 1.4650 5.6946e-17 2.5000 1.4650 5.6946e-17 2.5000 1.4027 -0.23250 2.2500 1.4027 -0.23250 0.0013563 0.0000
27  2.2500 1.4027 -0.23250 2.5000 1.4027 -0.23250 2.5000 1.2325 -0.40270 2.2500 1.2325 -0.40270 0.0013563 0.0000
28  2.2500 1.2325 -0.40270 2.5000 1.2325 -0.40270 2.5000 1.0000 -0.46500 2.2500 1.0000 -0.46500 0.0013563 0.0000
29  2.2500 1.0000 -0.46500 2.5000 1.0000 -0.46500 2.5000 0.76750 -0.40270 2.2500 0.76750 -0.40270 0.0013563 0.0000
30  2.2500 0.76750 -0.40270 2.5000 0.76750 -0.40270 2.5000 0.59730 -0.23250 2.2500 0.59730 -0.23250 0.0013563 0.0000
31  2.2500 0.59730 -0.23250 2.5000 0.59730 -0.23250 2.5000 0.53500 -5.2690e-16 2.2500 0.53500 -5.2690e-16 0.0013563 0.0000
32  2.5000 1.0581 0.090458 2.7500 1.0581 0.090458 2.7500 1.0581 -0.090458 2.5000 1.0581 -0.090458 0.011556 0.0000
33  2.5000 0.67786 0.015216 2.7500 0.67786 0.015216 2.7500 1.1479 0.28659 2.5000 1.1479 0.28659 0.011556 0.0000
34  2.5000 1.1742 0.27137 2.7500 1.1742 0.27137 2.7500 1.1742 -0.27137 2.5000 1.1742 -0.27137 0.011556 0.0000
35  2.5000 1.1479 -0.28659 2.7500 1.1479 -0.28659 2.7500 0.67786 -0.015216 2.5000 0.67786 -0.015216 0.011556 0.0000
36  2.5000 0.53500 0.0000 2.7500 0.53500 0.0000 2.7500 0.59730 0.23250 2.5000 0.59730 0.23250 0.0013563 0.0000
37  2.5000 0.59730 0.23250 2.7500 0.59730 0.23250 2.7500 0.76750 0.40270 2.5000 0.76750 0.40270 0.0013563 0.0000
38  2.5000 0.76750 0.40270 2.7500 0.76750 0.40270 2.7500 1.0000 0.46500 2.5000 1.0000 0.46500 0.0013563 0.0000
39  2.5000 1.0000 0.46500 2.7500 1.0000 0.46500 2.7500 1.2325 0.40270 2.5000 1.2325 0.40270 0.0013563 0.0000
40  2.5000 1.2325 0.40270 2.7500 1.2325 0.40270 2.7500 1.4027 0.23250 2.5000 1.4027 0.23250 0.0013563 0.0000
41  2.5000 1.4027 0.23250 2.7500 1.4027 0.23250 2.7500 1.4650 5.6946e-17 2.5000 1.4650 5.6946e-17 0.0013563 0.0000
42  2.5000 1.4650 5.6946e-17 2.7500 1.4650 5.6946e-17 2.7500 1.4027 -0.23250 2.5000 1.4027 -0.23250 0.0013563 0.0000
43  2.5000 1.4027 -0.23250 2.7500 1.4027 -0.23250 2.7500 1.2325 -0.40270 2.5000 1.2325 -0.40270 0.0013563 0.0000
44  2.5000 1.2325 -0.40270 2.7500 1.2325 -0.40270 2.7500 1.0000 -0.46500 2.5000 1.0000 -0.46500 0.0013563 0.0000
45  2.5000 1.0000 -0.46500 2.7500 1.0000 -0.46500 2.7500 0.76750 -0.40270 2.5000 0.76750 -0.40270 0.0013563 0.0000
46  2.5000 0.76750 -0.40270 2.7500 0.76750 -0.40270 2.7500 0.59730 -0.23250 2.5000 0.59730 -0.23250 0.0013563 0.0000
47  2.5000 0.59730 -0.23250 2.7500 0.59730 -0.23250 2.7500 0.53500 -5.2690e-16 2.5000 0.53500 -5.2690e-16 0.0013563 0.0000
48  2.7500 1.0581 0.090458 3.0000 1.0581 0.090458 3.0000 1.0581 -0.090458 2.7500 1.0581 -0.090458 0.011556 0.0000
49  2.7500 0.67786 0.015216 3.0000 0.67786 0.015216 3.0000 1.1479 0.28659 2.7500 1.1479 0.28659 0.011556 0.0000
50  2.7500 1.1742 0.27137 3.0000 1.1742 0.27137 3.0000 1.1742 -0.27137 2.7500 1.1742 -0.27137 0.011556 0.0000
51  2.7500 1.1479 -0.28659 3.0000 1.1479 -0.28659 3.0000 0.67786 -0.015216 2.7500 0.67786 -0.015216 0.011556 0.0000
52  2.7500 0.53500 0.0000 3.0000 0.53500 0.0000 3.0000 0.59730 0.23250 2.7500 0.59730 0.23250 0.0013563 0.0000
53  2.7500 0.59730 0.23250 3.0000 0.59730 0.23250 3.0000 0.76750 0.40270 2.7500 0.76750 0.40270 0.0013563 0.0000
54  2.7500 0.76750 0.40270 3.0000 0.76750 0.40270 3.0000 1.0000 0.46500 2.7500 1.0000 0.46500 0.0013563 0.0000
55  2.7500 1.0000 0.46500 3.0000 1.0000 0.46500 3.0000 1.2325 0.40270 2.7500 1.2325 0.40270 0.0013563 0.0000
56  2.7500 1.2325 0.40270 3.0000 1.2325 0.40270 3.0000 1.4027 0.23250 2.7500 1.4027 0.23250 0.0013563 0.0000
