element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
0  -6.0000 1.0000 0.0000 -6.0000 1.9333 0.0000 -5.0666 1.9333 0.0000 -5.0666 1.0000 0.0000 0.43555 0.50000
1  -5.0666 1.0000 0.0000 -5.0666 1.9333 0.0000 -4.1333 1.9333 0.0000 -4.1333 1.0000 0.0000 0.43555 0.50000
2  -4.1333 1.0000 0.0000 -4.1333 1.9333 0.0000 -3.2000 1.9333 0.0000 -3.2000 1.0000 0.0000 0.43555 0.50000
3  -3.2000 1.0000 0.0000 -3.2000 1.9333 0.0000 -2.2667 1.9333 0.0000 -2.2667 1.0000 0.0000 0.43555 0.50000
4  -2.2667 1.0000 0.0000 -2.2667 1.9333 0.0000 -1.3333 1.9333 0.0000 -1.3333 1.0000 0.0000 0.43555 0.50000
5  -1.3333 1.0000 0.0000 -1.3333 1.9333 0.0000 -0.40000 1.9333 0.0000 -0.40000 1.0000 0.0000 0.43555 0.50000
6  -0.39999 1.0000 0.0000 -0.39999 1.9333 0.0000 0.53334 1.9333 0.0000 0.53334 1.0000 0.0000 0.43555 0.50000
7  0.53334 1.0000 0.0000 0.53334 1.9333 0.0000 1.4667 1.9333 0.0000 1.4667 1.0000 0.0000 0.43555 0.50000
8  1.4667 1.0000 0.0000 1.4667 1.9333 0.0000 2.4000 1.9333 0.0000 2.4000 1.0000 0.0000 0.43555 0.50000
9  2.4000 1.0000 0.0000 2.4000 1.9333 0.0000 3.3333 1.9333 0.0000 3.3333 1.0000 0.0000 0.43555 0.50000
10  3.3333 1.0000 0.0000 3.3333 1.9333 0.0000 4.2667 1.9333 0.0000 4.2667 1.0000 0.0000 0.43555 0.50000
11  4.2667 1.0000 0.0000 4.2667 1.9333 0.0000 5.2000 1.9333 0.0000 5.2000 1.0000 0.0000 0.43555 0.50000
12  5.2000 1.0000 0.0000 5.2000 1.9333 0.0000 6.1333 1.9333 0.0000 6.1333 1.0000 0.0000 0.43555 0.50000
13  6.1333 1.0000 0.0000 6.1333 1.9333 0.0000 7.0666 1.9333 0.0000 7.0666 1.0000 0.0000 0.43555 0.50000
14  7.0666 1.0000 0.0000 7.0666 1.9333 0.0000 8.0000 1.9333 0.0000 8.0000 1.0000 0.0000 0.43555 0.50000
15  -6.0000 1.9333 0.0000 -6.0000 2.8667 0.0000 -5.0666 2.8667 0.0000 -5.0666 1.9333 0.0000 0.43555 0.50000
16  -5.0666 1.9333 0.0000 -5.0666 2.8667 0.0000 -4.1333 2.8667 0.0000 -4.1333 1.9333 0.0000 0.43555 0.50000
17  -4.1333 1.9333 0.0000 -4.1333 2.8667 0.0000 -3.2000 2.8667 0.0000 -3.2000 1.9333 0.0000 0.43555 0.50000
