cctdif2d
volumeGrid 139
 (1.0000 1.6250 0.0000)  (1.2500 1.6250 0.0000)  (1.2500 1.3750 0.0000)  (1.0000 1.3750 0.0000) 
 (1.0000 1.3750 0.0000)  (1.2500 1.3750 0.0000)  (1.2500 1.1250 0.0000)  (1.0000 1.1250 0.0000) 
 (1.0000 1.1250 0.0000)  (1.2500 1.1250 0.0000)  (1.2500 0.87500 0.0000)  (1.0000 0.87500 0.0000) 
 (1.0000 0.87500 0.0000)  (1.2500 0.87500 0.0000)  (1.2500 0.62500 0.0000)  (1.0000 0.62500 0.0000) 
 (1.0000 0.62500 0.0000)  (1.2500 0.62500 0.0000)  (1.2500 0.37500 0.0000)  (1.0000 0.37500 0.0000) 
 (1.2500 1.6250 0.0000)  (1.5000 1.6250 0.0000)  (1.5000 1.3750 0.0000)  (1.2500 1.3750 0.0000) 
 (1.2500 1.3750 0.0000)  (1.5000 1.3750 0.0000)  (1.5000 1.1250 0.0000)  (1.2500 1.1250 0.0000) 
 (1.2500 1.1250 0.0000)  (1.5000 1.1250 0.0000)  (1.5000 0.87500 0.0000)  (1.2500 0.87500 0.0000) 
 (1.2500 0.87500 0.0000)  (1.5000 0.87500 0.0000)  (1.5000 0.62500 0.0000)  (1.2500 0.62500 0.0000) 
 (1.2500 0.62500 0.0000)  (1.5000 0.62500 0.0000)  (1.5000 0.37500 0.0000)  (1.2500 0.37500 0.0000) 
 (1.5000 1.6250 0.0000)  (1.7500 1.6250 0.0000)  (1.7500 1.3750 0.0000)  (1.5000 1.3750 0.0000) 
 (1.5000 1.3750 0.0000)  (1.7500 1.3750 0.0000)  (1.7500 1.1250 0.0000)  (1.5000 1.1250 0.0000) 
 (1.5000 1.1250 0.0000)  (1.7500 1.1250 0.0000)  (1.7500 0.87500 0.0000)  (1.5000 0.87500 0.0000) 
 (1.5000 0.87500 0.0000)  (1.7500 0.87500 0.0000)  (1.7500 0.62500 0.0000)  (1.5000 0.62500 0.0000) 
 (1.5000 0.62500 0.0000)  (1.7500 0.62500 0.0000)  (1.7500 0.37500 0.0000)  (1.5000 0.37500 0.0000) 
 (1.7500 1.6250 0.0000)  (2.0000 1.6250 0.0000)  (2.0000 1.3750 0.0000)  (1.7500 1.3750 0.0000) 
 (1.7500 1.3750 0.0000)  (2.0000 1.3750 0.0000)  (2.0000 1.1250 0.0000)  (1.7500 1.1250 0.0000) 
 (1.7500 1.1250 0.0000)  (2.0000 1.1250 0.0000)  (2.0000 0.87500 0.0000)  (1.7500 0.87500 0.0000) 
 (1.7500 0.87500 0.0000)  (2.0000 0.87500 0.0000)  (2.0000 0.62500 0.0000)  (1.7500 0.62500 0.0000) 
 (1.7500 0.62500 0.0000)  (2.0000 0.62500 0.0000)  (2.0000 0.37500 0.0000)  (1.7500 0.37500 0.0000) 
 (2.0000 1.6250 0.0000)  (2.2500 1.6250 0.0000)  (2.2500 1.3750 0.0000)  (2.0000 1.3750 0.0000) 
 (2.0000 1.3750 0.0000)  (2.2500 1.3750 0.0000)  (2.2500 1.1250 0.0000)  (2.0000 1.1250 0.0000) 
 (2.0000 1.1250 0.0000)  (2.2500 1.1250 0.0000)  (2.2500 0.87500 0.0000)  (2.0000 0.87500 0.0000) 
 (2.0000 0.87500 0.0000)  (2.2500 0.87500 0.0000)  (2.2500 0.62500 0.0000)  (2.0000 0.62500 0.0000) 
 (2.0000 0.62500 0.0000)  (2.2500 0.62500 0.0000)  (2.2500 0.37500 0.0000)  (2.0000 0.37500 0.0000) 
 (2.2500 1.6250 0.0000)  (2.5000 1.6250 0.0000)  (2.5000 1.3750 0.0000)  (2.2500 1.3750 0.0000) 
 (2.2500 1.3750 0.0000)  (2.5000 1.3750 0.0000)  (2.5000 1.1250 0.0000)  (2.2500 1.1250 0.0000) 
 (2.2500 1.1250 0.0000)  (2.5000 1.1250 0.0000)  (2.5000 0.87500 0.0000)  (2.2500 0.87500 0.0000) 
 (2.2500 0.87500 0.0000)  (2.5000 0.87500 0.0000)  (2.5000 0.62500 0.0000)  (2.2500 0.62500 0.0000) 
 (2.2500 0.62500 0.0000)  (2.5000 0.62500 0.0000)  (2.5000 0.37500 0.0000)  (2.2500 0.37500 0.0000) 
 (2.5000 1.6250 0.0000)  (2.7500 1.6250 0.0000)  (2.7500 1.3750 0.0000)  (2.5000 1.3750 0.0000) 
 (2.5000 1.3750 0.0000)  (2.7500 1.3750 0.0000)  (2.7500 1.1250 0.0000)  (2.5000 1.1250 0.0000) 
 (2.5000 1.1250 0.0000)  (2.7500 1.1250 0.0000)  (2.7500 0.87500 0.0000)  (2.5000 0.87500 0.0000) 
 (2.5000 0.87500 0.0000)  (2.7500 0.87500 0.0000)  (2.7500 0.62500 0.0000)  (2.5000 0.62500 0.0000) 
 (2.5000 0.62500 0.0000)  (2.7500 0.62500 0.0000)  (2.7500 0.37500 0.0000)  (2.5000 0.37500 0.0000) 
 (2.7500 1.6250 0.0000)  (3.0000 1.6250 0.0000)  (3.0000 1.3750 0.0000)  (2.7500 1.3750 0.0000) 
 (2.7500 1.3750 0.0000)  (3.0000 1.3750 0.0000)  (3.0000 1.1250 0.0000)  (2.7500 1.1250 0.0000) 
 (2.7500 1.1250 0.0000)  (3.0000 1.1250 0.0000)  (3.0000 0.87500 0.0000)  (2.7500 0.87500 0.0000) 
 (2.7500 0.87500 0.0000)  (3.0000 0.87500 0.0000)  (3.0000 0.62500 0.0000)  (2.7500 0.62500 0.0000) 
 (2.7500 0.62500 0.0000)  (3.0000 0.62500 0.0000)  (3.0000 0.37500 0.0000)  (2.7500 0.37500 0.0000) 
 (3.0133 0.89956 0.0000)  (3.1497 0.89047 0.0000)  (3.1408 0.75743 0.0000)  (3.0044 0.76652 0.0000) 
 (3.0044 0.76652 0.0000)  (3.1408 0.75743 0.0000)  (3.1319 0.62439 0.0000)  (2.9956 0.63348 0.0000) 
 (2.9956 0.63348 0.0000)  (3.1319 0.62439 0.0000)  (3.1231 0.49135 0.0000)  (2.9867 0.50044 0.0000) 
 (3.1497 0.89047 0.0000)  (3.2860 0.88138 0.0000)  (3.2772 0.74834 0.0000)  (3.1408 0.75743 0.0000) 
 (3.1408 0.75743 0.0000)  (3.2772 0.74834 0.0000)  (3.2683 0.61530 0.0000)  (3.1319 0.62439 0.0000) 
 (3.1319 0.62439 0.0000)  (3.2683 0.61530 0.0000)  (3.2594 0.48226 0.0000)  (3.1231 0.49135 0.0000) 
 (3.2860 0.88138 0.0000)  (3.4224 0.87228 0.0000)  (3.4135 0.73925 0.0000)  (3.2772 0.74834 0.0000) 
 (3.2772 0.74834 0.0000)  (3.4135 0.73925 0.0000)  (3.4047 0.60621 0.0000)  (3.2683 0.61530 0.0000) 
 (3.2683 0.61530 0.0000)  (3.4047 0.60621 0.0000)  (3.3958 0.47317 0.0000)  (3.2594 0.48226 0.0000) 
 (3.4224 0.87228 0.0000)  (3.5588 0.86319 0.0000)  (3.5499 0.73016 0.0000)  (3.4135 0.73925 0.0000) 
 (3.4135 0.73925 0.0000)  (3.5499 0.73016 0.0000)  (3.5410 0.59712 0.0000)  (3.4047 0.60621 0.0000) 
 (3.4047 0.60621 0.0000)  (3.5410 0.59712 0.0000)  (3.5322 0.46408 0.0000)  (3.3958 0.47317 0.0000) 
 (3.5588 0.86319 0.0000)  (3.6951 0.85410 0.0000)  (3.6863 0.72106 0.0000)  (3.5499 0.73016 0.0000) 
 (3.5499 0.73016 0.0000)  (3.6863 0.72106 0.0000)  (3.6774 0.58803 0.0000)  (3.5410 0.59712 0.0000) 
 (3.5410 0.59712 0.0000)  (3.6774 0.58803 0.0000)  (3.6685 0.45499 0.0000)  (3.5322 0.46408 0.0000) 
 (3.6951 0.85410 0.0000)  (3.8315 0.84501 0.0000)  (3.8226 0.71197 0.0000)  (3.6863 0.72106 0.0000) 
 (3.6863 0.72106 0.0000)  (3.8226 0.71197 0.0000)  (3.8137 0.57894 0.0000)  (3.6774 0.58803 0.0000) 
 (3.6774 0.58803 0.0000)  (3.8137 0.57894 0.0000)  (3.8049 0.44590 0.0000)  (3.6685 0.45499 0.0000) 
 (3.8315 0.84501 0.0000)  (3.9678 0.83592 0.0000)  (3.9590 0.70288 0.0000)  (3.8226 0.71197 0.0000) 
 (3.8226 0.71197 0.0000)  (3.9590 0.70288 0.0000)  (3.9501 0.56984 0.0000)  (3.8137 0.57894 0.0000) 
 (3.8137 0.57894 0.0000)  (3.9501 0.56984 0.0000)  (3.9412 0.43681 0.0000)  (3.8049 0.44590 0.0000) 
 (3.9678 0.83592 0.0000)  (4.1042 0.82683 0.0000)  (4.0953 0.69379 0.0000)  (3.9590 0.70288 0.0000) 
 (3.9590 0.70288 0.0000)  (4.0953 0.69379 0.0000)  (4.0865 0.56075 0.0000)  (3.9501 0.56984 0.0000) 
