element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
0  1.0000 2.0000 0.0000 3.0000 2.0000 0.0000 3.0000 1.1102e-16 0.0000 1.0000 0.0000 0.0000 2.0000 0.50000
1  3.0000 2.0000 0.0000 5.1250 2.0000 0.0000 5.1250 1.1102e-16 0.0000 3.0000 0.0000 0.0000 2.1250 0.50000
2  5.1250 2.0000 0.0000 7.2500 2.0000 0.0000 7.2500 1.1102e-16 0.0000 5.1250 0.0000 0.0000 2.1250 0.50000
3  7.2500 2.0000 0.0000 9.3750 2.0000 0.0000 9.3750 1.1102e-16 0.0000 7.2500 0.0000 0.0000 2.1250 0.50000
4  9.3750 2.0000 0.0000 11.500 2.0000 0.0000 11.500 1.1102e-16 0.0000 9.3750 0.0000 0.0000 2.1250 0.50000
5  11.500 2.0000 0.0000 13.625 2.0000 0.0000 13.625 1.1102e-16 0.0000 11.500 0.0000 0.0000 2.1250 0.50000
6  13.625 2.0000 0.0000 15.750 2.0000 0.0000 15.750 1.1102e-16 0.0000 13.625 0.0000 0.0000 2.1250 0.50000
7  15.750 2.0000 0.0000 17.875 2.0000 0.0000 17.875 1.1102e-16 0.0000 15.750 0.0000 0.0000 2.1250 0.50000
8  17.875 2.0000 0.0000 20.000 2.0000 0.0000 20.000 1.1102e-16 0.0000 17.875 0.0000 0.0000 2.1250 0.50000
9  3.9625 2.2000 0.0000 3.9625 2.0000 0.0000 4.1625 2.0000 0.0000 4.1625 2.2000 0.0000 0.0062832 0.10000
10  3.9625 2.4000 0.0000 3.9625 2.2000 0.0000 4.1625 2.2000 0.0000 4.1625 2.4000 0.0000 0.0062832 0.10000
11  3.8625 2.6000 0.0000 3.9625 2.4000 0.0000 4.1625 2.4000 0.0000 4.2625 2.6000 0.0000 0.014661 0.15000
12  3.8625 2.8000 0.0000 3.8625 2.6000 0.0000 4.2625 2.6000 0.0000 4.2625 2.8000 0.0000 0.025133 0.20000
13  3.9375 3.0000 0.0000 3.8625 2.8000 0.0000 4.2625 2.8000 0.0000 4.1875 3.0000 0.0000 0.016886 0.16250
14  4.0125 3.2000 0.0000 3.9375 3.0000 0.0000 4.1875 3.0000 0.0000 4.1125 3.2000 0.0000 0.0051051 0.087500
15  6.0875 2.2000 0.0000 6.0875 2.0000 0.0000 6.2875 2.0000 0.0000 6.2875 2.2000 0.0000 0.0062832 0.10000
16  6.0875 2.4000 0.0000 6.0875 2.2000 0.0000 6.2875 2.2000 0.0000 6.2875 2.4000 0.0000 0.0062832 0.10000
17  5.9875 2.6000 0.0000 6.0875 2.4000 0.0000 6.2875 2.4000 0.0000 6.3875 2.6000 0.0000 0.014661 0.15000
18  5.9875 2.8000 0.0000 5.9875 2.6000 0.0000 6.3875 2.6000 0.0000 6.3875 2.8000 0.0000 0.025133 0.20000
19  6.0625 3.0000 0.0000 5.9875 2.8000 0.0000 6.3875 2.8000 0.0000 6.3125 3.0000 0.0000 0.016886 0.16250
20  6.1375 3.2000 0.0000 6.0625 3.0000 0.0000 6.3125 3.0000 0.0000 6.2375 3.2000 0.0000 0.0051051 0.087500
21  8.2125 2.2000 0.0000 8.2125 2.0000 0.0000 8.4125 2.0000 0.0000 8.4125 2.2000 0.0000 0.0062832 0.10000
22  8.2125 2.4000 0.0000 8.2125 2.2000 0.0000 8.4125 2.2000 0.0000 8.4125 2.4000 0.0000 0.0062832 0.10000
23  8.1125 2.6000 0.0000 8.2125 2.4000 0.0000 8.4125 2.4000 0.0000 8.5125 2.6000 0.0000 0.014661 0.15000
24  8.1125 2.8000 0.0000 8.1125 2.6000 0.0000 8.5125 2.6000 0.0000 8.5125 2.8000 0.0000 0.025133 0.20000
25  8.1875 3.0000 0.0000 8.1125 2.8000 0.0000 8.5125 2.8000 0.0000 8.4375 3.0000 0.0000 0.016886 0.16250
26  8.2625 3.2000 0.0000 8.1875 3.0000 0.0000 8.4375 3.0000 0.0000 8.3625 3.2000 0.0000 0.0051051 0.087500
27  10.338 2.2000 0.0000 10.338 2.0000 0.0000 10.538 2.0000 0.0000 10.538 2.2000 0.0000 0.0062832 0.10000
28  10.338 2.4000 0.0000 10.338 2.2000 0.0000 10.538 2.2000 0.0000 10.538 2.4000 0.0000 0.0062832 0.10000
29  10.238 2.6000 0.0000 10.338 2.4000 0.0000 10.538 2.4000 0.0000 10.638 2.6000 0.0000 0.014661 0.15000
30  10.238 2.8000 0.0000 10.238 2.6000 0.0000 10.638 2.6000 0.0000 10.638 2.8000 0.0000 0.025133 0.20000
31  10.313 3.0000 0.0000 10.238 2.8000 0.0000 10.638 2.8000 0.0000 10.563 3.0000 0.0000 0.016886 0.16250
32  10.388 3.2000 0.0000 10.313 3.0000 0.0000 10.563 3.0000 0.0000 10.488 3.2000 0.0000 0.0051051 0.087500
33  12.463 2.2000 0.0000 12.463 2.0000 0.0000 12.663 2.0000 0.0000 12.663 2.2000 0.0000 0.0062832 0.10000
34  12.463 2.4000 0.0000 12.463 2.2000 0.0000 12.663 2.2000 0.0000 12.663 2.4000 0.0000 0.0062832 0.10000
35  12.363 2.6000 0.0000 12.463 2.4000 0.0000 12.663 2.4000 0.0000 12.763 2.6000 0.0000 0.014661 0.15000
36  12.363 2.8000 0.0000 12.363 2.6000 0.0000 12.763 2.6000 0.0000 12.763 2.8000 0.0000 0.025133 0.20000
37  12.438 3.0000 0.0000 12.363 2.8000 0.0000 12.763 2.8000 0.0000 12.688 3.0000 0.0000 0.016886 0.16250
38  12.513 3.2000 0.0000 12.438 3.0000 0.0000 12.688 3.0000 0.0000 12.613 3.2000 0.0000 0.0051051 0.087500
39  14.588 2.2000 0.0000 14.588 2.0000 0.0000 14.788 2.0000 0.0000 14.788 2.2000 0.0000 0.0062832 0.10000
