element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
0  1.0000 2.0000 0.0000 3.0000 2.0000 0.0000 3.0000 1.1102e-16 0.0000 1.0000 0.0000 0.0000 2.0000 0.50000
1  3.0000 2.0000 0.0000 5.3333 2.0000 0.0000 5.3333 1.1102e-16 0.0000 3.0000 0.0000 0.0000 2.3333 0.50000
2  5.3333 2.0000 0.0000 7.6667 2.0000 0.0000 7.6667 1.1102e-16 0.0000 5.3333 0.0000 0.0000 2.3333 0.50000
3  7.6667 2.0000 0.0000 10.000 2.0000 0.0000 10.000 1.1102e-16 0.0000 7.6667 0.0000 0.0000 2.3333 0.50000
4  6.4000 2.2000 0.0000 6.4000 2.0000 0.0000 6.6000 2.0000 0.0000 6.6000 2.2000 0.0000 0.0062832 0.10000
5  6.4000 2.4000 0.0000 6.4000 2.2000 0.0000 6.6000 2.2000 0.0000 6.6000 2.4000 0.0000 0.0062832 0.10000
6  6.3000 2.6000 0.0000 6.4000 2.4000 0.0000 6.6000 2.4000 0.0000 6.7000 2.6000 0.0000 0.014661 0.15000
7  6.3000 2.8000 0.0000 6.3000 2.6000 0.0000 6.7000 2.6000 0.0000 6.7000 2.8000 0.0000 0.025133 0.20000
8  6.3750 3.0000 0.0000 6.3000 2.8000 0.0000 6.7000 2.8000 0.0000 6.6250 3.0000 0.0000 0.016886 0.16250
9  6.4500 3.2000 0.0000 6.3750 3.0000 0.0000 6.6250 3.0000 0.0000 6.5500 3.2000 0.0000 0.0051051 0.087500
