cctdif2d
volumeGrid 10977
 (-3.0531e-16 4.9286 -1.2857)  (0.43478 4.9286 -1.2857)  (0.43478 4.5000 -1.2857)  (-2.7756e-16 4.5000 -1.2857) 
 (-3.0531e-16 4.9286 -0.85714)  (0.43478 4.9286 -0.85714)  (0.43478 4.5000 -0.85714)  (-2.7756e-16 4.5000 -0.85714) 
 (-3.0531e-16 4.9286 -0.42857)  (0.43478 4.9286 -0.42857)  (0.43478 4.5000 -0.42857)  (-2.7756e-16 4.5000 -0.42857) 
 (-3.0531e-16 4.9286 0.0000)  (0.43478 4.9286 0.0000)  (0.43478 4.5000 0.0000)  (-2.7756e-16 4.5000 0.0000) 
 (-3.0531e-16 4.9286 0.42857)  (0.43478 4.9286 0.42857)  (0.43478 4.5000 0.42857)  (-2.7756e-16 4.5000 0.42857) 
 (-3.0531e-16 4.9286 0.85714)  (0.43478 4.9286 0.85714)  (0.43478 4.5000 0.85714)  (-2.7756e-16 4.5000 0.85714) 
 (-3.0531e-16 4.9286 1.2857)  (0.43478 4.9286 1.2857)  (0.43478 4.5000 1.2857)  (-2.7756e-16 4.5000 1.2857) 
 (-2.7756e-16 4.5000 -2.5714)  (0.43478 4.5000 -2.5714)  (0.43478 4.0714 -2.5714)  (-2.4980e-16 4.0714 -2.5714) 
 (-2.7756e-16 4.5000 -2.1429)  (0.43478 4.5000 -2.1429)  (0.43478 4.0714 -2.1429)  (-2.4980e-16 4.0714 -2.1429) 
 (-2.7756e-16 4.5000 -1.7143)  (0.43478 4.5000 -1.7143)  (0.43478 4.0714 -1.7143)  (-2.4980e-16 4.0714 -1.7143) 
 (-2.7756e-16 4.5000 -1.2857)  (0.43478 4.5000 -1.2857)  (0.43478 4.0714 -1.2857)  (-2.4980e-16 4.0714 -1.2857) 
 (-2.7756e-16 4.5000 -0.85714)  (0.43478 4.5000 -0.85714)  (0.43478 4.0714 -0.85714)  (-2.4980e-16 4.0714 -0.85714) 
 (-2.7756e-16 4.5000 -0.42857)  (0.43478 4.5000 -0.42857)  (0.43478 4.0714 -0.42857)  (-2.4980e-16 4.0714 -0.42857) 
 (-2.7756e-16 4.5000 0.0000)  (0.43478 4.5000 0.0000)  (0.43478 4.0714 0.0000)  (-2.4980e-16 4.0714 0.0000) 
 (-2.7756e-16 4.5000 0.42857)  (0.43478 4.5000 0.42857)  (0.43478 4.0714 0.42857)  (-2.4980e-16 4.0714 0.42857) 
 (-2.7756e-16 4.5000 0.85714)  (0.43478 4.5000 0.85714)  (0.43478 4.0714 0.85714)  (-2.4980e-16 4.0714 0.85714) 
 (-2.7756e-16 4.5000 1.2857)  (0.43478 4.5000 1.2857)  (0.43478 4.0714 1.2857)  (-2.4980e-16 4.0714 1.2857) 
 (-2.7756e-16 4.5000 1.7143)  (0.43478 4.5000 1.7143)  (0.43478 4.0714 1.7143)  (-2.4980e-16 4.0714 1.7143) 
 (-2.7756e-16 4.5000 2.1429)  (0.43478 4.5000 2.1429)  (0.43478 4.0714 2.1429)  (-2.4980e-16 4.0714 2.1429) 
 (-2.7756e-16 4.5000 2.5714)  (0.43478 4.5000 2.5714)  (0.43478 4.0714 2.5714)  (-2.4980e-16 4.0714 2.5714) 
 (-2.4980e-16 4.0714 -3.0000)  (0.43478 4.0714 -3.0000)  (0.43478 3.6429 -3.0000)  (-2.2204e-16 3.6429 -3.0000) 
 (-2.4980e-16 4.0714 -2.5714)  (0.43478 4.0714 -2.5714)  (0.43478 3.6429 -2.5714)  (-2.2204e-16 3.6429 -2.5714) 
 (-2.4980e-16 4.0714 -2.1429)  (0.43478 4.0714 -2.1429)  (0.43478 3.6429 -2.1429)  (-2.2204e-16 3.6429 -2.1429) 
 (-2.4980e-16 4.0714 -1.7143)  (0.43478 4.0714 -1.7143)  (0.43478 3.6429 -1.7143)  (-2.2204e-16 3.6429 -1.7143) 
 (-2.4980e-16 4.0714 -1.2857)  (0.43478 4.0714 -1.2857)  (0.43478 3.6429 -1.2857)  (-2.2204e-16 3.6429 -1.2857) 
 (-2.4980e-16 4.0714 -0.85714)  (0.43478 4.0714 -0.85714)  (0.43478 3.6429 -0.85714)  (-2.2204e-16 3.6429 -0.85714) 
 (-2.4980e-16 4.0714 -0.42857)  (0.43478 4.0714 -0.42857)  (0.43478 3.6429 -0.42857)  (-2.2204e-16 3.6429 -0.42857) 
