element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
0  -3.0531e-16 4.9286 -1.2857 0.43478 4.9286 -1.2857 0.43478 4.5000 -1.2857 -2.7756e-16 4.5000 -1.2857 0.079858 0.42857
1  -3.0531e-16 4.9286 -0.85714 0.43478 4.9286 -0.85714 0.43478 4.5000 -0.85714 -2.7756e-16 4.5000 -0.85714 0.079858 0.42857
2  -3.0531e-16 4.9286 -0.42857 0.43478 4.9286 -0.42857 0.43478 4.5000 -0.42857 -2.7756e-16 4.5000 -0.42857 0.079858 0.42857
3  -3.0531e-16 4.9286 0.0000 0.43478 4.9286 0.0000 0.43478 4.5000 0.0000 -2.7756e-16 4.5000 0.0000 0.079858 0.42857
4  -3.0531e-16 4.9286 0.42857 0.43478 4.9286 0.42857 0.43478 4.5000 0.42857 -2.7756e-16 4.5000 0.42857 0.079858 0.42857
5  -3.0531e-16 4.9286 0.85714 0.43478 4.9286 0.85714 0.43478 4.5000 0.85714 -2.7756e-16 4.5000 0.85714 0.079858 0.42857
6  -3.0531e-16 4.9286 1.2857 0.43478 4.9286 1.2857 0.43478 4.5000 1.2857 -2.7756e-16 4.5000 1.2857 0.079858 0.42857
7  -2.7756e-16 4.5000 -2.5714 0.43478 4.5000 -2.5714 0.43478 4.0714 -2.5714 -2.4980e-16 4.0714 -2.5714 0.079858 0.42857
8  -2.7756e-16 4.5000 -2.1429 0.43478 4.5000 -2.1429 0.43478 4.0714 -2.1429 -2.4980e-16 4.0714 -2.1429 0.079858 0.42857
9  -2.7756e-16 4.5000 -1.7143 0.43478 4.5000 -1.7143 0.43478 4.0714 -1.7143 -2.4980e-16 4.0714 -1.7143 0.079858 0.42857
10  -2.7756e-16 4.5000 -1.2857 0.43478 4.5000 -1.2857 0.43478 4.0714 -1.2857 -2.4980e-16 4.0714 -1.2857 0.079858 0.42857
11  -2.7756e-16 4.5000 -0.85714 0.43478 4.5000 -0.85714 0.43478 4.0714 -0.85714 -2.4980e-16 4.0714 -0.85714 0.079858 0.42857
12  -2.7756e-16 4.5000 -0.42857 0.43478 4.5000 -0.42857 0.43478 4.0714 -0.42857 -2.4980e-16 4.0714 -0.42857 0.079858 0.42857
13  -2.7756e-16 4.5000 0.0000 0.43478 4.5000 0.0000 0.43478 4.0714 0.0000 -2.4980e-16 4.0714 0.0000 0.079858 0.42857
14  -2.7756e-16 4.5000 0.42857 0.43478 4.5000 0.42857 0.43478 4.0714 0.42857 -2.4980e-16 4.0714 0.42857 0.079858 0.42857
15  -2.7756e-16 4.5000 0.85714 0.43478 4.5000 0.85714 0.43478 4.0714 0.85714 -2.4980e-16 4.0714 0.85714 0.079858 0.42857
16  -2.7756e-16 4.5000 1.2857 0.43478 4.5000 1.2857 0.43478 4.0714 1.2857 -2.4980e-16 4.0714 1.2857 0.079858 0.42857
17  -2.7756e-16 4.5000 1.7143 0.43478 4.5000 1.7143 0.43478 4.0714 1.7143 -2.4980e-16 4.0714 1.7143 0.079858 0.42857
18  -2.7756e-16 4.5000 2.1429 0.43478 4.5000 2.1429 0.43478 4.0714 2.1429 -2.4980e-16 4.0714 2.1429 0.079858 0.42857
19  -2.7756e-16 4.5000 2.5714 0.43478 4.5000 2.5714 0.43478 4.0714 2.5714 -2.4980e-16 4.0714 2.5714 0.079858 0.42857
20  -2.4980e-16 4.0714 -3.0000 0.43478 4.0714 -3.0000 0.43478 3.6429 -3.0000 -2.2204e-16 3.6429 -3.0000 0.079858 0.42857
21  -2.4980e-16 4.0714 -2.5714 0.43478 4.0714 -2.5714 0.43478 3.6429 -2.5714 -2.2204e-16 3.6429 -2.5714 0.079858 0.42857
22  -2.4980e-16 4.0714 -2.1429 0.43478 4.0714 -2.1429 0.43478 3.6429 -2.1429 -2.2204e-16 3.6429 -2.1429 0.079858 0.42857
23  -2.4980e-16 4.0714 -1.7143 0.43478 4.0714 -1.7143 0.43478 3.6429 -1.7143 -2.2204e-16 3.6429 -1.7143 0.079858 0.42857
24  -2.4980e-16 4.0714 -1.2857 0.43478 4.0714 -1.2857 0.43478 3.6429 -1.2857 -2.2204e-16 3.6429 -1.2857 0.079858 0.42857
