cctdif2d
volumeGrid 223
 (1.0000 1.9150 0.0000)  (1.4000 1.9150 0.0000)  (1.4000 1.8750 0.0000)  (1.0000 1.8750 0.0000) 
 (1.0000 1.8750 0.0000)  (1.4000 1.8750 0.0000)  (1.4000 1.5250 0.0000)  (1.0000 1.5250 0.0000) 
 (1.0000 1.5250 0.0000)  (1.4000 1.5250 0.0000)  (1.4000 1.1750 0.0000)  (1.0000 1.1750 0.0000) 
 (1.0000 1.1750 0.0000)  (1.4000 1.1750 0.0000)  (1.4000 0.82500 0.0000)  (1.0000 0.82500 0.0000) 
 (1.0000 0.82500 0.0000)  (1.4000 0.82500 0.0000)  (1.4000 0.47500 0.0000)  (1.0000 0.47500 0.0000) 
 (1.0000 0.47500 0.0000)  (1.4000 0.47500 0.0000)  (1.4000 0.12500 0.0000)  (1.0000 0.12500 0.0000) 
 (1.0000 0.12500 0.0000)  (1.4000 0.12500 0.0000)  (1.4000 0.085000 0.0000)  (1.0000 0.085000 0.0000) 
 (1.4000 1.9150 0.0000)  (1.8000 1.9150 0.0000)  (1.8000 1.8750 0.0000)  (1.4000 1.8750 0.0000) 
 (1.4000 1.8750 0.0000)  (1.8000 1.8750 0.0000)  (1.8000 1.5250 0.0000)  (1.4000 1.5250 0.0000) 
 (1.4000 1.5250 0.0000)  (1.8000 1.5250 0.0000)  (1.8000 1.1750 0.0000)  (1.4000 1.1750 0.0000) 
 (1.4000 1.1750 0.0000)  (1.8000 1.1750 0.0000)  (1.8000 0.82500 0.0000)  (1.4000 0.82500 0.0000) 
 (1.4000 0.82500 0.0000)  (1.8000 0.82500 0.0000)  (1.8000 0.47500 0.0000)  (1.4000 0.47500 0.0000) 
 (1.4000 0.47500 0.0000)  (1.8000 0.47500 0.0000)  (1.8000 0.12500 0.0000)  (1.4000 0.12500 0.0000) 
 (1.4000 0.12500 0.0000)  (1.8000 0.12500 0.0000)  (1.8000 0.085000 0.0000)  (1.4000 0.085000 0.0000) 
 (1.8000 1.9150 0.0000)  (2.2000 1.9150 0.0000)  (2.2000 1.8750 0.0000)  (1.8000 1.8750 0.0000) 
 (1.8000 1.8750 0.0000)  (2.2000 1.8750 0.0000)  (2.2000 1.5250 0.0000)  (1.8000 1.5250 0.0000) 
 (1.8000 1.5250 0.0000)  (2.2000 1.5250 0.0000)  (2.2000 1.1750 0.0000)  (1.8000 1.1750 0.0000) 
 (1.8000 1.1750 0.0000)  (2.2000 1.1750 0.0000)  (2.2000 0.82500 0.0000)  (1.8000 0.82500 0.0000) 
 (1.8000 0.82500 0.0000)  (2.2000 0.82500 0.0000)  (2.2000 0.47500 0.0000)  (1.8000 0.47500 0.0000) 
 (1.8000 0.47500 0.0000)  (2.2000 0.47500 0.0000)  (2.2000 0.12500 0.0000)  (1.8000 0.12500 0.0000) 
 (1.8000 0.12500 0.0000)  (2.2000 0.12500 0.0000)  (2.2000 0.085000 0.0000)  (1.8000 0.085000 0.0000) 
 (2.2000 1.9150 0.0000)  (2.6000 1.9150 0.0000)  (2.6000 1.8750 0.0000)  (2.2000 1.8750 0.0000) 
 (2.2000 1.8750 0.0000)  (2.6000 1.8750 0.0000)  (2.6000 1.5250 0.0000)  (2.2000 1.5250 0.0000) 
 (2.2000 1.5250 0.0000)  (2.6000 1.5250 0.0000)  (2.6000 1.1750 0.0000)  (2.2000 1.1750 0.0000) 
 (2.2000 1.1750 0.0000)  (2.6000 1.1750 0.0000)  (2.6000 0.82500 0.0000)  (2.2000 0.82500 0.0000) 
 (2.2000 0.82500 0.0000)  (2.6000 0.82500 0.0000)  (2.6000 0.47500 0.0000)  (2.2000 0.47500 0.0000) 
 (2.2000 0.47500 0.0000)  (2.6000 0.47500 0.0000)  (2.6000 0.12500 0.0000)  (2.2000 0.12500 0.0000) 
 (2.2000 0.12500 0.0000)  (2.6000 0.12500 0.0000)  (2.6000 0.085000 0.0000)  (2.2000 0.085000 0.0000) 
