time Vol_0_region1_submembrane_Spc_a Vol_1_region1_cytosol_Spc_a Vol_2_region1_submembrane_Spc_a Vol_3_region1_submembrane_Spc_a Vol_4_region1_cytosol_Spc_a Vol_5_region1_submembrane_Spc_a Vol_6_region1_submembrane_Spc_a Vol_7_region1_cytosol_Spc_a Vol_8_region1_submembrane_Spc_a Vol_9_region1_submembrane_Spc_a Vol_10_region1_cytosol_Spc_a Vol_11_region1_submembrane_Spc_a Vol_12_region1_submembrane_Spc_a Vol_13_region1_cytosol_Spc_a Vol_14_region1_submembrane_Spc_a Vol_15_region1_submembrane_Spc_a Vol_16_region1_cytosol_Spc_a Vol_17_region1_submembrane_Spc_a Vol_18_neck_cytosol_Spc_a Vol_19_neck_cytosol_Spc_a Vol_20_neck_cytosol_Spc_a Vol_21_neck_cytosol_Spc_a Vol_22_neck_cytosol_Spc_a Vol_23_SH1_cytosol_Spc_a Vol_24_SH1_cytosol_sa1[0].pointA_Spc_a Vol_25_neck_cytosol_Spc_a Vol_26_neck_cytosol_Spc_a Vol_27_neck_cytosol_Spc_a Vol_28_neck_cytosol_Spc_a Vol_29_neck_cytosol_Spc_a Vol_30_SH1_cytosol_Spc_a Vol_31_SH1_cytosol_sa1[1].pointA_Spc_a Vol_32_neck_cytosol_Spc_a Vol_33_neck_cytosol_Spc_a Vol_34_neck_cytosol_Spc_a Vol_35_neck_cytosol_Spc_a Vol_36_neck_cytosol_Spc_a Vol_37_SH1_cytosol_Spc_a Vol_38_SH1_cytosol_sa1[2].pointA_Spc_a
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 284.62 0.0 0.0 203.35 223.78 0.0 0.0 284.62 284.62 0.0 203.35 223.78 0.0 0.0 284.62 284.62 284.62 203.35 223.78 0.0 0.0 
1.0000 0.0 0.0 0.0 0.0 0.0 0.0 7.4726 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 284.62 0.0 0.0 203.35 0.0 155.81 0.0 284.62 284.62 284.62 0.0 223.78 0.0 0.0 284.62 0.0 284.62 0.0 223.78 0.0 162.64 
2.0000 0.0 0.0 0.0 7.4726 0.0 0.0 7.4726 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 284.62 0.0 0.0 203.35 111.89 77.903 0.0 569.24 0.0 0.0 0.0 0.0 77.903 162.64 284.62 0.0 569.24 0.0 111.89 77.903 0.0 
3.0000 0.0 0.0 0.0 7.4726 0.0 0.0 14.945 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 284.62 0.0 223.78 0.0 162.64 569.24 0.0 0.0 0.0 0.0 77.903 162.64 0.0 0.0 284.62 203.35 111.89 77.903 0.0 
4.0000 0.0 0.0 0.0 7.4726 0.0 0.0 7.4726 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 203.35 0.0 233.71 0.0 284.62 0.0 0.0 0.0 223.78 0.0 0.0 0.0 284.62 0.0 203.35 0.0 155.81 0.0 
5.0000 0.0 0.0 0.0 7.4726 0.0 0.0 7.4726 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 203.35 111.89 155.81 0.0 0.0 284.62 0.0 0.0 111.89 77.903 0.0 0.0 0.0 284.62 203.35 0.0 155.81 0.0 
6.0000 0.0 0.0 0.0 7.4726 0.0 0.0 7.4726 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 284.62 0.0 1118.9 2960.3 8945.2 284.62 0.0 0.0 203.35 559.44 2882.4 9595.7 0.0 284.62 0.0 0.0 111.89 155.81 0.0 
7.0000 0.0 0.0 0.0 7.4726 0.0 0.0 7.4726 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1016.7 2461.5 7089.2 13987 0.0 284.62 0.0 610.05 3580.4 6777.6 13011 0.0 0.0 284.62 0.0 111.89 155.81 0.0 
8.0000 0.0 0.0 0.0 0.0 0.0 0.0 14.945 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3050.2 4811.2 9737.9 19679 0.0 0.0 1138.5 2033.5 5034.9 10517 17728 0.0 0.0 0.0 0.0 0.0 233.71 0.0 
9.0000 0.0 0.0 0.0 0.0 0.0 0.0 14.945 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 284.62 1992.3 3863.6 7944.0 12465 23745 0.0 0.0 1138.5 4067.0 7160.8 14101 21794 0.0 0.0 0.0 0.0 0.0 233.71 0.0 
10.000 0.0 0.0 0.0 0.0 0.0 0.0 14.945 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1423.1 1707.7 6507.2 10070 16438 26022 0.0 0.0 3700.0 5287.1 11860 15581 25697 0.0 0.0 0.0 0.0 111.89 77.903 162.64 
11.000 0.0 0.0 0.0 0.0 0.0 0.0 7.4726 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 569.24 1707.7 4553.9 8744.0 11189 19787 29763 0.0 853.86 4838.5 6913.9 15329 18619 27974 0.0 0.0 0.0 0.0 223.78 77.903 0.0 
