element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
0  1.0000 2.0000 0.0000 1.6667 2.0000 0.0000 1.6667 1.3333 0.0000 1.0000 1.3333 0.0000 0.22222 0.50000
1  1.0000 1.3333 0.0000 1.6667 1.3333 0.0000 1.6667 0.66667 0.0000 1.0000 0.66667 0.0000 0.22222 0.50000
2  1.0000 0.66667 0.0000 1.6667 0.66667 0.0000 1.6667 2.2204e-16 0.0000 1.0000 2.2204e-16 0.0000 0.22222 0.50000
3  1.6667 2.0000 0.0000 2.3333 2.0000 0.0000 2.3333 1.3333 0.0000 1.6667 1.3333 0.0000 0.22222 0.50000
4  1.6667 1.3333 0.0000 2.3333 1.3333 0.0000 2.3333 0.66667 0.0000 1.6667 0.66667 0.0000 0.22222 0.50000
5  1.6667 0.66667 0.0000 2.3333 0.66667 0.0000 2.3333 2.2204e-16 0.0000 1.6667 2.2204e-16 0.0000 0.22222 0.50000
6  2.3333 2.0000 0.0000 3.0000 2.0000 0.0000 3.0000 1.3333 0.0000 2.3333 1.3333 0.0000 0.22222 0.50000
7  2.3333 1.3333 0.0000 3.0000 1.3333 0.0000 3.0000 0.66667 0.0000 2.3333 0.66667 0.0000 0.22222 0.50000
8  2.3333 0.66667 0.0000 3.0000 0.66667 0.0000 3.0000 2.2204e-16 0.0000 2.3333 2.2204e-16 0.0000 0.22222 0.50000
9  3.0000 2.0000 0.0000 3.6667 2.0000 0.0000 3.6667 1.3333 0.0000 3.0000 1.3333 0.0000 0.22222 0.50000
10  3.0000 1.3333 0.0000 3.6667 1.3333 0.0000 3.6667 0.66667 0.0000 3.0000 0.66667 0.0000 0.22222 0.50000
11  3.0000 0.66667 0.0000 3.6667 0.66667 0.0000 3.6667 2.2204e-16 0.0000 3.0000 2.2204e-16 0.0000 0.22222 0.50000
12  3.6667 2.0000 0.0000 4.3333 2.0000 0.0000 4.3333 1.3333 0.0000 3.6667 1.3333 0.0000 0.22222 0.50000
13  3.6667 1.3333 0.0000 4.3333 1.3333 0.0000 4.3333 0.66667 0.0000 3.6667 0.66667 0.0000 0.22222 0.50000
14  3.6667 0.66667 0.0000 4.3333 0.66667 0.0000 4.3333 2.2204e-16 0.0000 3.6667 2.2204e-16 0.0000 0.22222 0.50000
15  4.3333 2.0000 0.0000 5.0000 2.0000 0.0000 5.0000 1.3333 0.0000 4.3333 1.3333 0.0000 0.22222 0.50000
16  4.3333 1.3333 0.0000 5.0000 1.3333 0.0000 5.0000 0.66667 0.0000 4.3333 0.66667 0.0000 0.22222 0.50000
17  4.3333 0.66667 0.0000 5.0000 0.66667 0.0000 5.0000 2.2204e-16 0.0000 4.3333 2.2204e-16 0.0000 0.22222 0.50000
18  5.0000 2.0000 0.0000 5.7143 2.0000 0.0000 5.7143 1.3333 0.0000 5.0000 1.3333 0.0000 0.23810 0.50000
19  5.0000 1.3333 0.0000 5.7143 1.3333 0.0000 5.7143 0.66667 0.0000 5.0000 0.66667 0.0000 0.23810 0.50000
20  5.0000 0.66667 0.0000 5.7143 0.66667 0.0000 5.7143 2.2204e-16 0.0000 5.0000 2.2204e-16 0.0000 0.23810 0.50000
21  5.7143 2.0000 0.0000 6.4286 2.0000 0.0000 6.4286 1.3333 0.0000 5.7143 1.3333 0.0000 0.23810 0.50000
22  5.7143 1.3333 0.0000 6.4286 1.3333 0.0000 6.4286 0.66667 0.0000 5.7143 0.66667 0.0000 0.23810 0.50000
23  5.7143 0.66667 0.0000 6.4286 0.66667 0.0000 6.4286 2.2204e-16 0.0000 5.7143 2.2204e-16 0.0000 0.23810 0.50000
