element_index  cx cy cz volume deltaZ
0  2.1000 1.0000 0.0000 0.0000 0.0000
1  2.0000 1.0000 0.0000 0.0000 0.0000
2  2.1561 0.89393 0.0000 0.0000 0.0000
3  2.1561 1.1061 0.0000 0.0000 0.0000
4  1.9439 1.1061 0.0000 0.0000 0.0000
5  1.9439 0.89393 0.0000 0.0000 0.0000
6  2.1457 0.76903 0.0000 0.0000 0.0000
7  2.2810 0.90433 0.0000 0.0000 0.0000
8  2.2810 1.0957 0.0000 0.0000 0.0000
9  2.1457 1.2310 0.0000 0.0000 0.0000
10  1.9543 1.2310 0.0000 0.0000 0.0000
11  1.8190 1.0957 0.0000 0.0000 0.0000
12  1.8190 0.90433 0.0000 0.0000 0.0000
13  1.9543 0.76903 0.0000 0.0000 0.0000
14  2.1839 0.67664 0.0000 0.0000 0.0000
15  2.3734 0.86606 0.0000 0.0000 0.0000
16  2.3734 1.1339 0.0000 0.0000 0.0000
17  2.1839 1.3234 0.0000 0.0000 0.0000
18  1.9161 1.3234 0.0000 0.0000 0.0000
19  1.7266 1.1339 0.0000 0.0000 0.0000
20  1.7266 0.86606 0.0000 0.0000 0.0000
21  1.9161 0.67664 0.0000 0.0000 0.0000
22  2.1378 0.55865 0.0000 0.0000 0.0000
23  2.3000 0.62584 0.0000 0.0000 0.0000
24  2.4242 0.74999 0.0000 0.0000 0.0000
25  2.4914 0.91221 0.0000 0.0000 0.0000
26  2.4914 1.0878 0.0000 0.0000 0.0000
27  2.4242 1.2500 0.0000 0.0000 0.0000
28  2.3000 1.3742 0.0000 0.0000 0.0000
29  2.1378 1.4414 0.0000 0.0000 0.0000
30  1.9622 1.4414 0.0000 0.0000 0.0000
31  1.8000 1.3742 0.0000 0.0000 0.0000
32  1.6758 1.2500 0.0000 0.0000 0.0000
33  1.6086 1.0878 0.0000 0.0000 0.0000
34  1.6086 0.91221 0.0000 0.0000 0.0000
35  1.6758 0.74999 0.0000 0.0000 0.0000
36  1.8000 0.62584 0.0000 0.0000 0.0000
37  1.9622 0.55865 0.0000 0.0000 0.0000
38  2.2000 1.0000 0.0000 0.0000 0.0000
39  2.1000 1.0000 0.0000 0.0000 0.0000
40  2.2561 0.89393 0.0000 0.0000 0.0000
41  2.2561 1.1061 0.0000 0.0000 0.0000
42  2.0439 1.1061 0.0000 0.0000 0.0000
43  2.0439 0.89393 0.0000 0.0000 0.0000
44  2.2457 0.76903 0.0000 0.0000 0.0000
45  2.3810 0.90433 0.0000 0.0000 0.0000
46  2.3810 1.0957 0.0000 0.0000 0.0000
47  2.2457 1.2310 0.0000 0.0000 0.0000
48  2.0543 1.2310 0.0000 0.0000 0.0000
49  1.9190 1.0957 0.0000 0.0000 0.0000
