cctdif2d
volumeGrid 386
 (2.0000 1.0581 0.090458)  (2.2500 1.0581 0.090458)  (2.2500 1.0581 -0.090458)  (2.0000 1.0581 -0.090458) 
 (2.0000 0.67786 0.015216)  (2.2500 0.67786 0.015216)  (2.2500 1.1479 0.28659)  (2.0000 1.1479 0.28659) 
 (2.0000 1.1742 0.27137)  (2.2500 1.1742 0.27137)  (2.2500 1.1742 -0.27137)  (2.0000 1.1742 -0.27137) 
 (2.0000 1.1479 -0.28659)  (2.2500 1.1479 -0.28659)  (2.2500 0.67786 -0.015216)  (2.0000 0.67786 -0.015216) 
 (2.0000 0.53500 0.0000)  (2.2500 0.53500 0.0000)  (2.2500 0.59730 0.23250)  (2.0000 0.59730 0.23250) 
 (2.0000 0.59730 0.23250)  (2.2500 0.59730 0.23250)  (2.2500 0.76750 0.40270)  (2.0000 0.76750 0.40270) 
 (2.0000 0.76750 0.40270)  (2.2500 0.76750 0.40270)  (2.2500 1.0000 0.46500)  (2.0000 1.0000 0.46500) 
 (2.0000 1.0000 0.46500)  (2.2500 1.0000 0.46500)  (2.2500 1.2325 0.40270)  (2.0000 1.2325 0.40270) 
 (2.0000 1.2325 0.40270)  (2.2500 1.2325 0.40270)  (2.2500 1.4027 0.23250)  (2.0000 1.4027 0.23250) 
 (2.0000 1.4027 0.23250)  (2.2500 1.4027 0.23250)  (2.2500 1.4650 5.6946e-17)  (2.0000 1.4650 5.6946e-17) 
 (2.0000 1.4650 5.6946e-17)  (2.2500 1.4650 5.6946e-17)  (2.2500 1.4027 -0.23250)  (2.0000 1.4027 -0.23250) 
 (2.0000 1.4027 -0.23250)  (2.2500 1.4027 -0.23250)  (2.2500 1.2325 -0.40270)  (2.0000 1.2325 -0.40270) 
 (2.0000 1.2325 -0.40270)  (2.2500 1.2325 -0.40270)  (2.2500 1.0000 -0.46500)  (2.0000 1.0000 -0.46500) 
 (2.0000 1.0000 -0.46500)  (2.2500 1.0000 -0.46500)  (2.2500 0.76750 -0.40270)  (2.0000 0.76750 -0.40270) 
 (2.0000 0.76750 -0.40270)  (2.2500 0.76750 -0.40270)  (2.2500 0.59730 -0.23250)  (2.0000 0.59730 -0.23250) 
 (2.0000 0.59730 -0.23250)  (2.2500 0.59730 -0.23250)  (2.2500 0.53500 -5.2690e-16)  (2.0000 0.53500 -5.2690e-16) 
 (2.2500 1.0581 0.090458)  (2.5000 1.0581 0.090458)  (2.5000 1.0581 -0.090458)  (2.2500 1.0581 -0.090458) 
 (2.2500 0.67786 0.015216)  (2.5000 0.67786 0.015216)  (2.5000 1.1479 0.28659)  (2.2500 1.1479 0.28659) 
 (2.2500 1.1742 0.27137)  (2.5000 1.1742 0.27137)  (2.5000 1.1742 -0.27137)  (2.2500 1.1742 -0.27137) 
 (2.2500 1.1479 -0.28659)  (2.5000 1.1479 -0.28659)  (2.5000 0.67786 -0.015216)  (2.2500 0.67786 -0.015216) 
 (2.2500 0.53500 0.0000)  (2.5000 0.53500 0.0000)  (2.5000 0.59730 0.23250)  (2.2500 0.59730 0.23250) 
 (2.2500 0.59730 0.23250)  (2.5000 0.59730 0.23250)  (2.5000 0.76750 0.40270)  (2.2500 0.76750 0.40270) 
 (2.2500 0.76750 0.40270)  (2.5000 0.76750 0.40270)  (2.5000 1.0000 0.46500)  (2.2500 1.0000 0.46500) 
 (2.2500 1.0000 0.46500)  (2.5000 1.0000 0.46500)  (2.5000 1.2325 0.40270)  (2.2500 1.2325 0.40270) 
 (2.2500 1.2325 0.40270)  (2.5000 1.2325 0.40270)  (2.5000 1.4027 0.23250)  (2.2500 1.4027 0.23250) 
 (2.2500 1.4027 0.23250)  (2.5000 1.4027 0.23250)  (2.5000 1.4650 5.6946e-17)  (2.2500 1.4650 5.6946e-17) 
 (2.2500 1.4650 5.6946e-17)  (2.5000 1.4650 5.6946e-17)  (2.5000 1.4027 -0.23250)  (2.2500 1.4027 -0.23250) 
 (2.2500 1.4027 -0.23250)  (2.5000 1.4027 -0.23250)  (2.5000 1.2325 -0.40270)  (2.2500 1.2325 -0.40270) 
 (2.2500 1.2325 -0.40270)  (2.5000 1.2325 -0.40270)  (2.5000 1.0000 -0.46500)  (2.2500 1.0000 -0.46500) 
 (2.2500 1.0000 -0.46500)  (2.5000 1.0000 -0.46500)  (2.5000 0.76750 -0.40270)  (2.2500 0.76750 -0.40270) 
 (2.2500 0.76750 -0.40270)  (2.5000 0.76750 -0.40270)  (2.5000 0.59730 -0.23250)  (2.2500 0.59730 -0.23250) 
 (2.2500 0.59730 -0.23250)  (2.5000 0.59730 -0.23250)  (2.5000 0.53500 -5.2690e-16)  (2.2500 0.53500 -5.2690e-16) 
 (2.5000 1.0581 0.090458)  (2.7500 1.0581 0.090458)  (2.7500 1.0581 -0.090458)  (2.5000 1.0581 -0.090458) 
 (2.5000 0.67786 0.015216)  (2.7500 0.67786 0.015216)  (2.7500 1.1479 0.28659)  (2.5000 1.1479 0.28659) 
 (2.5000 1.1742 0.27137)  (2.7500 1.1742 0.27137)  (2.7500 1.1742 -0.27137)  (2.5000 1.1742 -0.27137) 
 (2.5000 1.1479 -0.28659)  (2.7500 1.1479 -0.28659)  (2.7500 0.67786 -0.015216)  (2.5000 0.67786 -0.015216) 
 (2.5000 0.53500 0.0000)  (2.7500 0.53500 0.0000)  (2.7500 0.59730 0.23250)  (2.5000 0.59730 0.23250) 
 (2.5000 0.59730 0.23250)  (2.7500 0.59730 0.23250)  (2.7500 0.76750 0.40270)  (2.5000 0.76750 0.40270) 
 (2.5000 0.76750 0.40270)  (2.7500 0.76750 0.40270)  (2.7500 1.0000 0.46500)  (2.5000 1.0000 0.46500) 
 (2.5000 1.0000 0.46500)  (2.7500 1.0000 0.46500)  (2.7500 1.2325 0.40270)  (2.5000 1.2325 0.40270) 
 (2.5000 1.2325 0.40270)  (2.7500 1.2325 0.40270)  (2.7500 1.4027 0.23250)  (2.5000 1.4027 0.23250) 
 (2.5000 1.4027 0.23250)  (2.7500 1.4027 0.23250)  (2.7500 1.4650 5.6946e-17)  (2.5000 1.4650 5.6946e-17) 
 (2.5000 1.4650 5.6946e-17)  (2.7500 1.4650 5.6946e-17)  (2.7500 1.4027 -0.23250)  (2.5000 1.4027 -0.23250) 
 (2.5000 1.4027 -0.23250)  (2.7500 1.4027 -0.23250)  (2.7500 1.2325 -0.40270)  (2.5000 1.2325 -0.40270) 
 (2.5000 1.2325 -0.40270)  (2.7500 1.2325 -0.40270)  (2.7500 1.0000 -0.46500)  (2.5000 1.0000 -0.46500) 
 (2.5000 1.0000 -0.46500)  (2.7500 1.0000 -0.46500)  (2.7500 0.76750 -0.40270)  (2.5000 0.76750 -0.40270) 
 (2.5000 0.76750 -0.40270)  (2.7500 0.76750 -0.40270)  (2.7500 0.59730 -0.23250)  (2.5000 0.59730 -0.23250) 
 (2.5000 0.59730 -0.23250)  (2.7500 0.59730 -0.23250)  (2.7500 0.53500 -5.2690e-16)  (2.5000 0.53500 -5.2690e-16) 
 (2.7500 1.0581 0.090458)  (3.0000 1.0581 0.090458)  (3.0000 1.0581 -0.090458)  (2.7500 1.0581 -0.090458) 
 (2.7500 0.67786 0.015216)  (3.0000 0.67786 0.015216)  (3.0000 1.1479 0.28659)  (2.7500 1.1479 0.28659) 
 (2.7500 1.1742 0.27137)  (3.0000 1.1742 0.27137)  (3.0000 1.1742 -0.27137)  (2.7500 1.1742 -0.27137) 
 (2.7500 1.1479 -0.28659)  (3.0000 1.1479 -0.28659)  (3.0000 0.67786 -0.015216)  (2.7500 0.67786 -0.015216) 
 (2.7500 0.53500 0.0000)  (3.0000 0.53500 0.0000)  (3.0000 0.59730 0.23250)  (2.7500 0.59730 0.23250) 
 (2.7500 0.59730 0.23250)  (3.0000 0.59730 0.23250)  (3.0000 0.76750 0.40270)  (2.7500 0.76750 0.40270) 
 (2.7500 0.76750 0.40270)  (3.0000 0.76750 0.40270)  (3.0000 1.0000 0.46500)  (2.7500 1.0000 0.46500) 
 (2.7500 1.0000 0.46500)  (3.0000 1.0000 0.46500)  (3.0000 1.2325 0.40270)  (2.7500 1.2325 0.40270) 
 (2.7500 1.2325 0.40270)  (3.0000 1.2325 0.40270)  (3.0000 1.4027 0.23250)  (2.7500 1.4027 0.23250) 
 (2.7500 1.4027 0.23250)  (3.0000 1.4027 0.23250)  (3.0000 1.4650 5.6946e-17)  (2.7500 1.4650 5.6946e-17) 
 (2.7500 1.4650 5.6946e-17)  (3.0000 1.4650 5.6946e-17)  (3.0000 1.4027 -0.23250)  (2.7500 1.4027 -0.23250) 
 (2.7500 1.4027 -0.23250)  (3.0000 1.4027 -0.23250)  (3.0000 1.2325 -0.40270)  (2.7500 1.2325 -0.40270) 
 (2.7500 1.2325 -0.40270)  (3.0000 1.2325 -0.40270)  (3.0000 1.0000 -0.46500)  (2.7500 1.0000 -0.46500) 
