element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
0  2.9000 1.4750 -0.20000 2.9500 1.4750 -0.20000 2.9500 1.4250 -0.20000 2.9000 1.4250 -0.20000 0.00012500 0.050000
1  2.9000 1.4750 -0.15000 2.9500 1.4750 -0.15000 2.9500 1.4250 -0.15000 2.9000 1.4250 -0.15000 0.00012500 0.050000
2  2.9000 1.4750 -0.10000 2.9500 1.4750 -0.10000 2.9500 1.4250 -0.10000 2.9000 1.4250 -0.10000 0.00012500 0.050000
3  2.9000 1.4750 -0.050000 2.9500 1.4750 -0.050000 2.9500 1.4250 -0.050000 2.9000 1.4250 -0.050000 0.00012500 0.050000
4  2.9000 1.4750 0.0000 2.9500 1.4750 0.0000 2.9500 1.4250 0.0000 2.9000 1.4250 0.0000 0.00012500 0.050000
5  2.9000 1.4750 0.050000 2.9500 1.4750 0.050000 2.9500 1.4250 0.050000 2.9000 1.4250 0.050000 0.00012500 0.050000
6  2.9000 1.4750 0.10000 2.9500 1.4750 0.10000 2.9500 1.4250 0.10000 2.9000 1.4250 0.10000 0.00012500 0.050000
7  2.9000 1.4750 0.15000 2.9500 1.4750 0.15000 2.9500 1.4250 0.15000 2.9000 1.4250 0.15000 0.00012500 0.050000
8  2.9000 1.4750 0.20000 2.9500 1.4750 0.20000 2.9500 1.4250 0.20000 2.9000 1.4250 0.20000 0.00012500 0.050000
9  2.9000 1.4250 -0.25000 2.9500 1.4250 -0.25000 2.9500 1.3750 -0.25000 2.9000 1.3750 -0.25000 0.00012500 0.050000
10  2.9000 1.4250 -0.20000 2.9500 1.4250 -0.20000 2.9500 1.3750 -0.20000 2.9000 1.3750 -0.20000 0.00012500 0.050000
11  2.9000 1.4250 -0.15000 2.9500 1.4250 -0.15000 2.9500 1.3750 -0.15000 2.9000 1.3750 -0.15000 0.00012500 0.050000
12  2.9000 1.4250 -0.10000 2.9500 1.4250 -0.10000 2.9500 1.3750 -0.10000 2.9000 1.3750 -0.10000 0.00012500 0.050000
13  2.9000 1.4250 -0.050000 2.9500 1.4250 -0.050000 2.9500 1.3750 -0.050000 2.9000 1.3750 -0.050000 0.00012500 0.050000
14  2.9000 1.4250 0.0000 2.9500 1.4250 0.0000 2.9500 1.3750 0.0000 2.9000 1.3750 0.0000 0.00012500 0.050000
15  2.9000 1.4250 0.050000 2.9500 1.4250 0.050000 2.9500 1.3750 0.050000 2.9000 1.3750 0.050000 0.00012500 0.050000
16  2.9000 1.4250 0.10000 2.9500 1.4250 0.10000 2.9500 1.3750 0.10000 2.9000 1.3750 0.10000 0.00012500 0.050000
17  2.9000 1.4250 0.15000 2.9500 1.4250 0.15000 2.9500 1.3750 0.15000 2.9000 1.3750 0.15000 0.00012500 0.050000
18  2.9000 1.4250 0.20000 2.9500 1.4250 0.20000 2.9500 1.3750 0.20000 2.9000 1.3750 0.20000 0.00012500 0.050000
19  2.9000 1.4250 0.25000 2.9500 1.4250 0.25000 2.9500 1.3750 0.25000 2.9000 1.3750 0.25000 0.00012500 0.050000
20  2.9000 1.3750 -0.35000 2.9500 1.3750 -0.35000 2.9500 1.3250 -0.35000 2.9000 1.3250 -0.35000 0.00012500 0.050000
21  2.9000 1.3750 -0.30000 2.9500 1.3750 -0.30000 2.9500 1.3250 -0.30000 2.9000 1.3250 -0.30000 0.00012500 0.050000
22  2.9000 1.3750 -0.25000 2.9500 1.3750 -0.25000 2.9500 1.3250 -0.25000 2.9000 1.3250 -0.25000 0.00012500 0.050000
23  2.9000 1.3750 -0.20000 2.9500 1.3750 -0.20000 2.9500 1.3250 -0.20000 2.9000 1.3250 -0.20000 0.00012500 0.050000
24  2.9000 1.3750 -0.15000 2.9500 1.3750 -0.15000 2.9500 1.3250 -0.15000 2.9000 1.3250 -0.15000 0.00012500 0.050000
25  2.9000 1.3750 -0.10000 2.9500 1.3750 -0.10000 2.9500 1.3250 -0.10000 2.9000 1.3250 -0.10000 0.00012500 0.050000
26  2.9000 1.3750 -0.050000 2.9500 1.3750 -0.050000 2.9500 1.3250 -0.050000 2.9000 1.3250 -0.050000 0.00012500 0.050000
27  2.9000 1.3750 0.0000 2.9500 1.3750 0.0000 2.9500 1.3250 0.0000 2.9000 1.3250 0.0000 0.00012500 0.050000
28  2.9000 1.3750 0.050000 2.9500 1.3750 0.050000 2.9500 1.3250 0.050000 2.9000 1.3250 0.050000 0.00012500 0.050000
29  2.9000 1.3750 0.10000 2.9500 1.3750 0.10000 2.9500 1.3250 0.10000 2.9000 1.3250 0.10000 0.00012500 0.050000
30  2.9000 1.3750 0.15000 2.9500 1.3750 0.15000 2.9500 1.3250 0.15000 2.9000 1.3250 0.15000 0.00012500 0.050000
31  2.9000 1.3750 0.20000 2.9500 1.3750 0.20000 2.9500 1.3250 0.20000 2.9000 1.3250 0.20000 0.00012500 0.050000
32  2.9000 1.3750 0.25000 2.9500 1.3750 0.25000 2.9500 1.3250 0.25000 2.9000 1.3250 0.25000 0.00012500 0.050000
33  2.9000 1.3750 0.30000 2.9500 1.3750 0.30000 2.9500 1.3250 0.30000 2.9000 1.3250 0.30000 0.00012500 0.050000
34  2.9000 1.3750 0.35000 2.9500 1.3750 0.35000 2.9500 1.3250 0.35000 2.9000 1.3250 0.35000 0.00012500 0.050000
35  2.9000 1.3250 -0.35000 2.9500 1.3250 -0.35000 2.9500 1.2750 -0.35000 2.9000 1.2750 -0.35000 0.00012500 0.050000
36  2.9000 1.3250 -0.30000 2.9500 1.3250 -0.30000 2.9500 1.2750 -0.30000 2.9000 1.2750 -0.30000 0.00012500 0.050000
37  2.9000 1.3250 -0.25000 2.9500 1.3250 -0.25000 2.9500 1.2750 -0.25000 2.9000 1.2750 -0.25000 0.00012500 0.050000
38  2.9000 1.3250 -0.20000 2.9500 1.3250 -0.20000 2.9500 1.2750 -0.20000 2.9000 1.2750 -0.20000 0.00012500 0.050000
39  2.9000 1.3250 -0.15000 2.9500 1.3250 -0.15000 2.9500 1.2750 -0.15000 2.9000 1.2750 -0.15000 0.00012500 0.050000
40  2.9000 1.3250 -0.10000 2.9500 1.3250 -0.10000 2.9500 1.2750 -0.10000 2.9000 1.2750 -0.10000 0.00012500 0.050000
41  2.9000 1.3250 -0.050000 2.9500 1.3250 -0.050000 2.9500 1.2750 -0.050000 2.9000 1.2750 -0.050000 0.00012500 0.050000
42  2.9000 1.3250 0.0000 2.9500 1.3250 0.0000 2.9500 1.2750 0.0000 2.9000 1.2750 0.0000 0.00012500 0.050000
43  2.9000 1.3250 0.050000 2.9500 1.3250 0.050000 2.9500 1.2750 0.050000 2.9000 1.2750 0.050000 0.00012500 0.050000
44  2.9000 1.3250 0.10000 2.9500 1.3250 0.10000 2.9500 1.2750 0.10000 2.9000 1.2750 0.10000 0.00012500 0.050000
45  2.9000 1.3250 0.15000 2.9500 1.3250 0.15000 2.9500 1.2750 0.15000 2.9000 1.2750 0.15000 0.00012500 0.050000
46  2.9000 1.3250 0.20000 2.9500 1.3250 0.20000 2.9500 1.2750 0.20000 2.9000 1.2750 0.20000 0.00012500 0.050000
47  2.9000 1.3250 0.25000 2.9500 1.3250 0.25000 2.9500 1.2750 0.25000 2.9000 1.2750 0.25000 0.00012500 0.050000
48  2.9000 1.3250 0.30000 2.9500 1.3250 0.30000 2.9500 1.2750 0.30000 2.9000 1.2750 0.30000 0.00012500 0.050000
49  2.9000 1.3250 0.35000 2.9500 1.3250 0.35000 2.9500 1.2750 0.35000 2.9000 1.2750 0.35000 0.00012500 0.050000
50  2.9000 1.2750 -0.40000 2.9500 1.2750 -0.40000 2.9500 1.2250 -0.40000 2.9000 1.2250 -0.40000 0.00012500 0.050000
51  2.9000 1.2750 -0.35000 2.9500 1.2750 -0.35000 2.9500 1.2250 -0.35000 2.9000 1.2250 -0.35000 0.00012500 0.050000
52  2.9000 1.2750 -0.30000 2.9500 1.2750 -0.30000 2.9500 1.2250 -0.30000 2.9000 1.2250 -0.30000 0.00012500 0.050000
53  2.9000 1.2750 -0.25000 2.9500 1.2750 -0.25000 2.9500 1.2250 -0.25000 2.9000 1.2250 -0.25000 0.00012500 0.050000
54  2.9000 1.2750 -0.20000 2.9500 1.2750 -0.20000 2.9500 1.2250 -0.20000 2.9000 1.2250 -0.20000 0.00012500 0.050000
55  2.9000 1.2750 -0.15000 2.9500 1.2750 -0.15000 2.9500 1.2250 -0.15000 2.9000 1.2250 -0.15000 0.00012500 0.050000
56  2.9000 1.2750 -0.10000 2.9500 1.2750 -0.10000 2.9500 1.2250 -0.10000 2.9000 1.2250 -0.10000 0.00012500 0.050000
57  2.9000 1.2750 -0.050000 2.9500 1.2750 -0.050000 2.9500 1.2250 -0.050000 2.9000 1.2250 -0.050000 0.00012500 0.050000
58  2.9000 1.2750 0.0000 2.9500 1.2750 0.0000 2.9500 1.2250 0.0000 2.9000 1.2250 0.0000 0.00012500 0.050000
59  2.9000 1.2750 0.050000 2.9500 1.2750 0.050000 2.9500 1.2250 0.050000 2.9000 1.2250 0.050000 0.00012500 0.050000
60  2.9000 1.2750 0.10000 2.9500 1.2750 0.10000 2.9500 1.2250 0.10000 2.9000 1.2250 0.10000 0.00012500 0.050000
61  2.9000 1.2750 0.15000 2.9500 1.2750 0.15000 2.9500 1.2250 0.15000 2.9000 1.2250 0.15000 0.00012500 0.050000
62  2.9000 1.2750 0.20000 2.9500 1.2750 0.20000 2.9500 1.2250 0.20000 2.9000 1.2250 0.20000 0.00012500 0.050000
63  2.9000 1.2750 0.25000 2.9500 1.2750 0.25000 2.9500 1.2250 0.25000 2.9000 1.2250 0.25000 0.00012500 0.050000
64  2.9000 1.2750 0.30000 2.9500 1.2750 0.30000 2.9500 1.2250 0.30000 2.9000 1.2250 0.30000 0.00012500 0.050000
65  2.9000 1.2750 0.35000 2.9500 1.2750 0.35000 2.9500 1.2250 0.35000 2.9000 1.2250 0.35000 0.00012500 0.050000
66  2.9000 1.2750 0.40000 2.9500 1.2750 0.40000 2.9500 1.2250 0.40000 2.9000 1.2250 0.40000 0.00012500 0.050000
67  2.9000 1.2250 -0.45000 2.9500 1.2250 -0.45000 2.9500 1.1750 -0.45000 2.9000 1.1750 -0.45000 0.00012500 0.050000
